ENTIDAD FEDERATIVA;NIVEL DE ESTUDIOS;NOMBRE PROGRAMA EDUCATIVO;Matrícula Mujeres;Matrícula Hombres;Matrícula Total;Nuevo Ingreso Mujeres;Nuevo Ingreso Hombres;Nuevo Ingreso Total;Egresados Mujeres;Egresados Hombres;Egresados Total;Titulados Mujeres;Titulados Hombres;Titulados Total
AGUASCALIENTES;;TOTAL;2337;1749;4086;726;582;1308;692;505;1197;437;339;776
AGUASCALIENTES;ESPECIALIDAD;ESPECIALIDAD EN ANTROPOLOGÍA FILOSÓFICA;23;21;44;8;12;20;0;0;0;11;11;22
AGUASCALIENTES;ESPECIALIDAD;ESPECIALIDAD EN COMERCIO Y FINANZAS INTERNACIONALES;1;1;2;0;0;0;0;0;0;0;0;0
AGUASCALIENTES;ESPECIALIDAD;ESPECIALIDAD EN DESARROLLO DEL CAPITAL HUMANO;2;0;2;2;0;2;5;4;9;2;0;2
AGUASCALIENTES;ESPECIALIDAD;ESPECIALIDAD EN DIRECCIÓN DE OPERACIONES;10;29;39;10;27;37;6;19;25;13;18;31
AGUASCALIENTES;ESPECIALIDAD;ESPECIALIDAD EN EFICIENCIA ENERGÉTICA Y DOMÓTICA;7;10;17;7;10;17;2;5;7;5;5;10
AGUASCALIENTES;ESPECIALIDAD;ESPECIALIDAD EN ENDODONCIA;7;4;11;5;2;7;1;0;1;1;0;1
AGUASCALIENTES;ESPECIALIDAD;ESPECIALIDAD EN ENFERMERÍA EN TERAPIA INTENSIVA;65;17;82;19;6;25;25;5;30;36;10;46
AGUASCALIENTES;ESPECIALIDAD;ESPECIALIDAD EN FINANZAS;11;10;21;8;3;11;12;5;17;3;7;10
AGUASCALIENTES;ESPECIALIDAD;ESPECIALIDAD EN IMPUESTOS;31;18;49;20;16;36;21;16;37;3;3;6
AGUASCALIENTES;ESPECIALIDAD;ESPECIALIDAD EN IMPUESTOS INTERNACIONALES;2;2;4;0;0;0;2;2;4;0;0;0
AGUASCALIENTES;ESPECIALIDAD;ESPECIALIDAD EN INNOVACIÓN BIOINTERACTIVA;11;8;19;11;8;19;13;5;18;2;2;4
AGUASCALIENTES;ESPECIALIDAD;ESPECIALIDAD EN MERCADOTECNIA INTERNACIONAL;0;0;0;0;0;0;2;6;8;1;1;2
AGUASCALIENTES;ESPECIALIDAD;ESPECIALIDAD EN NEUROPSICOLOGÍA;12;1;13;0;0;0;0;0;0;0;0;0
AGUASCALIENTES;ESPECIALIDAD;ESPECIALIDAD EN ORTODONCIA;12;8;20;5;5;10;0;0;0;0;0;0
AGUASCALIENTES;ESPECIALIDAD;ESPECIALIDAD EN ORTODONCIA Y ORTOPEDIA MAXILAR;7;5;12;0;0;0;1;0;1;4;1;5
AGUASCALIENTES;ESPECIALIDAD;ESPECIALIDAD EN ROBÓTICA;0;6;6;0;6;6;0;9;9;1;5;6
AGUASCALIENTES;ESPECIALIDAD;ESPECIALIDAD EN SISTEMA PENAL ACUSATORIO CON ÉNFASIS EN CIENCIAS FORENSES ;13;19;32;13;19;32;0;1;1;0;0;0
AGUASCALIENTES;ESPECIALIDAD;ESPECIALIDAD EN TECNOLOGÍAS MÓVILES;0;13;13;0;13;13;1;7;8;1;6;7
AGUASCALIENTES;MAESTRÍA;MAESTRÍA EN ADMINISTRACIÓN;38;28;66;13;6;19;17;25;42;16;21;37
AGUASCALIENTES;MAESTRÍA;MAESTRÍA EN ADMINISTRACIÓN (FINANZAS);26;26;52;6;7;13;3;6;9;0;1;1
AGUASCALIENTES;MAESTRÍA;MAESTRÍA EN ADMINISTRACIÓN CAMPO FINANZAS  ;20;48;68;12;36;48;0;0;0;0;0;0
AGUASCALIENTES;MAESTRÍA;MAESTRÍA EN ADMINISTRACIÓN DE HOSPITALES Y SERVICIOS DE SALUD;191;91;282;52;22;74;57;26;83;100;45;145
AGUASCALIENTES;MAESTRÍA;MAESTRÍA EN ADMINISTRACIÓN DE JUSTICIA Y LITIGACIÓN ORAL;3;0;3;0;0;0;0;0;0;0;0;0
AGUASCALIENTES;MAESTRÍA;MAESTRÍA EN ADMINISTRACIÓN DE LA CADENA DE VALOR;18;16;34;0;0;0;12;12;24;2;8;10
AGUASCALIENTES;MAESTRÍA;MAESTRÍA EN ADMINISTRACIÓN DE NEGOCIOS;54;36;90;22;18;40;22;22;44;0;0;0
AGUASCALIENTES;MAESTRÍA;MAESTRÍA EN ADMINISTRACIÓN DE NEGOCIOS CON ORIENTACIÓN EN FINANZAS;20;28;48;5;9;14;0;0;0;0;0;0
AGUASCALIENTES;MAESTRÍA;MAESTRÍA EN ADMINISTRACIÓN PÚBLICA;7;15;22;5;8;13;0;0;0;0;0;0
AGUASCALIENTES;MAESTRÍA;MAESTRÍA EN ARQUITECTURA SUSTENTABLE;4;8;12;2;2;4;5;4;9;0;10;10
AGUASCALIENTES;MAESTRÍA;MAESTRÍA EN ARTES;15;11;26;0;0;0;0;0;0;0;0;0
AGUASCALIENTES;MAESTRÍA;MAESTRÍA EN BIOTECNOLOGÍA AGROPECUARIA;11;7;18;8;4;12;6;8;14;2;3;5
AGUASCALIENTES;MAESTRÍA;MAESTRÍA EN CIENCIA DE LOS DATOS Y PROCESAMIENTO DE DATOS MASIVOS (BIG DATA)  ;17;39;56;7;16;23;1;2;3;1;4;5
AGUASCALIENTES;MAESTRÍA;MAESTRÍA EN CIENCIAS;1;25;26;0;8;8;0;1;1;0;0;0
AGUASCALIENTES;MAESTRÍA;MAESTRÍA EN CIENCIAS COMPUTACIÓN, MATEMÁTICAS APLICADAS;4;13;17;0;0;0;1;0;1;0;4;4
AGUASCALIENTES;MAESTRÍA;MAESTRÍA EN CIENCIAS CON OPCIÓN: AGRONÓMICAS Y VETERINARIAS;10;6;16;0;0;0;4;2;6;5;5;10
AGUASCALIENTES;MAESTRÍA;MAESTRÍA EN CIENCIAS DE LA ADMINISTRACIÓN;2;1;3;0;0;0;1;3;4;1;3;4
AGUASCALIENTES;MAESTRÍA;MAESTRÍA EN CIENCIAS DE LA EDUCACIÓN;10;8;18;0;0;0;10;11;21;10;10;20
AGUASCALIENTES;MAESTRÍA;MAESTRÍA EN CIENCIAS DE LA EDUCACIÓN Y PROCESOS COGNITIVOS;221;71;292;24;10;34;53;19;72;16;2;18
AGUASCALIENTES;MAESTRÍA;MAESTRÍA EN CIENCIAS DE LA ENFERMERÍA;79;23;102;28;9;37;22;6;28;29;5;34
AGUASCALIENTES;MAESTRÍA;MAESTRÍA EN CIENCIAS DE LA INGENIERÍA;4;26;30;3;7;10;1;6;7;1;6;7
AGUASCALIENTES;MAESTRÍA;MAESTRÍA EN CIENCIAS EN INGENIERÍA MECATRÓNICA;1;2;3;0;0;0;0;0;0;0;0;0
AGUASCALIENTES;MAESTRÍA;MAESTRÍA EN CIENCIAS EN INGENIERÍA QUÍMICA;18;13;31;5;5;10;0;4;4;0;4;4
AGUASCALIENTES;MAESTRÍA;MAESTRÍA EN CIENCIAS JURÍDICAS;0;0;0;0;0;0;1;0;1;2;0;2
AGUASCALIENTES;MAESTRÍA;MAESTRÍA EN CIENCIAS: BIOLOGÍA VEGETAL Y TOXICOLOGÍA;11;10;21;0;0;0;0;0;0;11;5;16
AGUASCALIENTES;MAESTRÍA;MAESTRÍA EN COMUNICACIÓN ESTRATÉGICA E IMAGEN INSTITUCIONAL;10;10;20;6;4;10;5;3;8;1;0;1
AGUASCALIENTES;MAESTRÍA;MAESTRÍA EN CONSERVACIÓN Y RESTAURACIÓN DEL PATRIMONIO EDIFICADO ;6;8;14;6;8;14;0;0;0;0;0;0
AGUASCALIENTES;MAESTRÍA;MAESTRÍA EN CRIMINALÍSTICA;11;11;22;0;0;0;0;0;0;0;0;0
AGUASCALIENTES;MAESTRÍA;MAESTRÍA EN DERECHO;10;12;22;10;12;22;5;5;10;0;0;0
AGUASCALIENTES;MAESTRÍA;MAESTRÍA EN DERECHO CIVIL;0;0;0;0;0;0;2;2;4;0;0;0
AGUASCALIENTES;MAESTRÍA;MAESTRÍA EN DERECHO CONSTITUCIONAL Y AMPARO;23;46;69;8;19;27;21;22;43;19;19;38
AGUASCALIENTES;MAESTRÍA;MAESTRÍA EN DERECHO FISCAL;6;6;12;0;0;0;0;0;0;0;0;0
AGUASCALIENTES;MAESTRÍA;MAESTRÍA EN DESARROLLO E INNOVACIÓN ALIMENTARIA;15;6;21;14;6;20;12;4;16;0;0;0
AGUASCALIENTES;MAESTRÍA;MAESTRÍA EN DESARROLLO Y DIRECCIÓN DEL CAPITAL HUMANO;19;7;26;0;0;0;9;6;15;8;4;12
AGUASCALIENTES;MAESTRÍA;MAESTRÍA EN EDUCACIÓN;137;68;205;88;38;126;36;8;44;0;0;0
AGUASCALIENTES;MAESTRÍA;MAESTRÍA EN EDUCACIÓN BASADA EN COMPETENCIAS;0;1;1;0;0;0;0;1;1;0;0;0
AGUASCALIENTES;MAESTRÍA;MAESTRÍA EN EDUCACIÓN BÁSICA;15;7;22;0;0;0;0;0;0;4;0;4
AGUASCALIENTES;MAESTRÍA;MAESTRÍA EN EDUCACIÓN FAMILIAR;12;2;14;12;2;14;5;0;5;5;0;5
AGUASCALIENTES;MAESTRÍA;MAESTRÍA EN EDUCACIÓN MEDIA SUPERIOR;0;0;0;0;0;0;8;5;13;1;1;2
AGUASCALIENTES;MAESTRÍA;MAESTRÍA EN EDUCACIÓN Y ENTORNOS VIRTUALES DE APRENDIZAJE  ;68;46;114;13;9;22;37;24;61;4;4;8
AGUASCALIENTES;MAESTRÍA;MAESTRÍA EN ENSEÑANZA DE LAS CIENCIAS;11;16;27;7;10;17;2;1;3;0;1;1
AGUASCALIENTES;MAESTRÍA;MAESTRÍA EN EVALUACIÓN Y ADMINISTRACIÓN DE PROYECTOS;21;44;65;9;29;38;25;21;46;9;11;20
AGUASCALIENTES;MAESTRÍA;MAESTRÍA EN GESTIÓN ADMINISTRATIVA;14;11;25;8;4;12;0;0;0;0;0;0
AGUASCALIENTES;MAESTRÍA;MAESTRÍA EN GESTIÓN DE SABERES PARA EL APRENDIZAJE  ;5;0;5;5;0;5;0;0;0;0;0;0
AGUASCALIENTES;MAESTRÍA;MAESTRÍA EN GESTIÓN DIRECTIVA DE INSTITUCIONES EDUCATIVAS;36;16;52;0;0;0;0;0;0;0;0;0
AGUASCALIENTES;MAESTRÍA;MAESTRÍA EN GESTIÓN DIRECTIVA EN SALUD;4;3;7;0;0;0;10;3;13;8;3;11
AGUASCALIENTES;MAESTRÍA;MAESTRÍA EN GOBIERNO Y ADMINISTRACIÓN PÚBLICA;15;13;28;6;8;14;9;14;23;0;4;4
AGUASCALIENTES;MAESTRÍA;MAESTRÍA EN IMPUESTOS;16;20;36;9;12;21;8;9;17;13;15;28
AGUASCALIENTES;MAESTRÍA;MAESTRÍA EN INFORMÁTICA Y TECNOLOGÍAS COMPUTACIONALES;2;13;15;0;0;0;0;0;0;0;1;1
AGUASCALIENTES;MAESTRÍA;MAESTRÍA EN INGENIERÍA;5;10;15;2;6;8;3;15;18;1;2;3
AGUASCALIENTES;MAESTRÍA;MAESTRÍA EN INGENIERÍA CIVIL;9;26;35;0;0;0;0;0;0;7;20;27
AGUASCALIENTES;MAESTRÍA;MAESTRÍA EN INNOVACIÓN DIDÁCTICA ;46;6;52;46;6;52;0;0;0;0;0;0
AGUASCALIENTES;MAESTRÍA;MAESTRÍA EN INVESTIGACIÓN EDUCATIVA;6;4;10;6;4;10;8;3;11;0;0;0
AGUASCALIENTES;MAESTRÍA;MAESTRÍA EN INVESTIGACIÓN PSICOLÓGICA;8;8;16;0;0;0;0;0;0;12;5;17
AGUASCALIENTES;MAESTRÍA;MAESTRÍA EN INVESTIGACIONES SOCIALES Y HUMANIDADES;7;8;15;0;0;0;0;0;0;11;3;14
AGUASCALIENTES;MAESTRÍA;MAESTRÍA EN JUICIOS ORALES;10;4;14;10;4;14;0;0;0;0;0;0
AGUASCALIENTES;MAESTRÍA;MAESTRÍA EN JUICIOS ORALES EN MATERIA DE LO PENAL;10;14;24;5;7;12;0;0;0;0;0;0
AGUASCALIENTES;MAESTRÍA;MAESTRIA EN MARKETING DIGITAL;21;13;34;8;6;14;14;15;29;0;0;0
AGUASCALIENTES;MAESTRÍA;MAESTRÍA EN MERCADOTECNIA;6;6;12;3;3;6;0;0;0;0;0;0
AGUASCALIENTES;MAESTRÍA;MAESTRÍA EN ORIENTACIÓN PSICOANALÍTICA;9;9;18;0;0;0;7;4;11;0;0;0
AGUASCALIENTES;MAESTRÍA;MAESTRÍA EN PLANEACIÓN URBANA;5;8;13;0;0;0;0;0;0;0;0;0
AGUASCALIENTES;MAESTRÍA;MAESTRÍA EN PROCESOS DE APRENDIZAJE Y NECESIDADES EDUCATIVAS ESPECIALES;17;0;17;0;0;0;0;0;0;0;0;0
AGUASCALIENTES;MAESTRÍA;MAESTRÍA EN PROPIEDAD INDUSTRIAL, DERECHOS DE AUTOR Y NUEVAS TECNOLOGÍAS;37;36;73;9;6;15;18;22;40;1;5;6
AGUASCALIENTES;MAESTRÍA;MAESTRÍA EN PSICOLOGÍA CRIMINAL Y FORENSE;37;10;47;21;5;26;40;8;48;0;0;0
AGUASCALIENTES;MAESTRÍA;MAESTRÍA EN PSICOLOGÍA HUMANISTA;3;1;4;3;1;4;0;0;0;0;0;0
AGUASCALIENTES;MAESTRÍA;MAESTRÍA EN PSICOTERAPIA GESTALT;16;3;19;16;3;19;0;0;0;0;0;0
AGUASCALIENTES;MAESTRÍA;MAESTRÍA EN RECURSOS HUMANOS;18;5;23;12;4;16;0;0;0;0;0;0
AGUASCALIENTES;MAESTRÍA;MAESTRÍA EN REHABILITACIÓN VISUAL;14;5;19;0;0;0;13;4;17;12;4;16
AGUASCALIENTES;MAESTRÍA;MAESTRÍA EN VALUACIÓN INMOBILIARIA;6;22;28;0;0;0;0;0;0;0;0;0
AGUASCALIENTES;MAESTRÍA;MAESTRÍA INTERINSTITUCIONAL EN PRODUCCIÓN PECUARIA;2;0;2;1;0;1;0;1;1;1;0;1
AGUASCALIENTES;DOCTORADO;DOCTORADO EN ARQUITECTURA;1;1;2;0;0;0;0;0;0;0;1;1
AGUASCALIENTES;DOCTORADO;DOCTORADO EN ARTES;4;3;7;0;0;0;3;0;3;3;0;3
AGUASCALIENTES;DOCTORADO;DOCTORADO EN CIENCIAS ADMINISTRATIVAS;11;15;26;4;9;13;0;0;0;10;4;14
AGUASCALIENTES;DOCTORADO;DOCTORADO EN CIENCIAS APLICADAS Y TECNOLOGÍA  ;2;12;14;1;7;8;0;0;0;0;0;0
AGUASCALIENTES;DOCTORADO;DOCTORADO EN CIENCIAS BIOLÓGICAS;33;23;56;0;0;0;7;3;10;4;9;13
AGUASCALIENTES;DOCTORADO;DOCTORADO EN CIENCIAS DE LA EDUCACIÓN;445;331;776;47;34;81;63;49;112;5;3;8
AGUASCALIENTES;DOCTORADO;DOCTORADO EN CIENCIAS DE LA INGENIERÍA;9;28;37;2;5;7;1;3;4;1;3;4
AGUASCALIENTES;DOCTORADO;DOCTORADO EN CIENCIAS EN BIOTECNOLOGÍA EN PROCESOS AGROPECUARIOS;3;4;7;0;1;1;0;0;0;0;0;0
AGUASCALIENTES;DOCTORADO;DOCTORADO EN CIENCIAS EN LOS ÁMBITOS ANTRÓPICOS;7;7;14;0;0;0;1;1;2;0;6;6
AGUASCALIENTES;DOCTORADO;DOCTORADO EN DERECHO;4;8;12;0;0;0;0;0;0;0;0;0
AGUASCALIENTES;DOCTORADO;DOCTORADO EN DERECHO INTERINSTITUCIONAL;3;1;4;0;0;0;0;0;0;3;0;3
AGUASCALIENTES;DOCTORADO;DOCTORADO EN DESARROLLO EDUCATIVO CON ÉNFASIS EN FORMACIÓN DE PROFESORES;0;0;0;0;0;0;0;0;0;1;1;2
AGUASCALIENTES;DOCTORADO;DOCTORADO EN EDUCACIÓN;4;0;4;0;0;0;4;0;4;0;0;0
AGUASCALIENTES;DOCTORADO;DOCTORADO EN ESTUDIOS SOCIOCULTURALES;13;5;18;5;2;7;5;7;12;9;2;11
AGUASCALIENTES;DOCTORADO;DOCTORADO EN INVESTIGACIÓN EDUCATIVA;13;6;19;8;4;12;0;0;0;0;0;0
AGUASCALIENTES;DOCTORADO;DOCTORADO EN PSICOLOGÍA;6;2;8;0;0;0;0;0;0;1;2;3
AGUASCALIENTES;DOCTORADO;DOCTORADO EN PSICOTERAPIA HUMANISTA;32;16;48;16;10;26;4;1;5;4;1;5
BAJA CALIFORNIA;;TOTAL;4963;4176;9139;1893;1364;3257;1891;1487;3378;1301;1128;2429
BAJA CALIFORNIA;ESPECIALIDAD;ESPECIALIDAD EN ADMINISTRACIÓN DE ORGANIZACIONES DE LA SALUD;40;37;77;2;9;11;4;5;9;4;5;9
BAJA CALIFORNIA;ESPECIALIDAD;ESPECIALIDAD EN ADMINISTRACIÓN DE RECURSOS HUMANOS;8;2;10;7;2;9;7;2;9;0;0;0
BAJA CALIFORNIA;ESPECIALIDAD;ESPECIALIDAD EN ADMINISTRACIÓN EMPRESARIAL DE LA CONSTRUCCIÓN    ;3;12;15;0;0;0;0;0;0;0;0;0
BAJA CALIFORNIA;ESPECIALIDAD;ESPECIALIDAD EN ALTA DIRECCIÓN;4;1;5;0;0;0;9;1;10;9;1;10
BAJA CALIFORNIA;ESPECIALIDAD;ESPECIALIDAD EN CIENCIAS DE LA EDUCACIÓN;31;5;36;7;3;10;17;2;19;0;0;0
BAJA CALIFORNIA;ESPECIALIDAD;ESPECIALIDAD EN DERECHO;23;15;38;23;15;38;11;16;27;6;6;12
BAJA CALIFORNIA;ESPECIALIDAD;ESPECIALIDAD EN DIRECCIÓN FINANCIERA;13;13;26;0;0;0;8;8;16;5;3;8
BAJA CALIFORNIA;ESPECIALIDAD;ESPECIALIDAD EN DISEÑO Y EVALUACIÓN PEDAGÓGICA;3;11;14;3;11;14;0;0;0;0;0;0
BAJA CALIFORNIA;ESPECIALIDAD;ESPECIALIDAD EN DOCENCIA;9;2;11;9;2;11;2;1;3;0;0;0
BAJA CALIFORNIA;ESPECIALIDAD;ESPECIALIDAD EN EDUCACIÓN DE LA SEXUALIDAD;15;2;17;15;2;17;9;3;12;9;3;12
BAJA CALIFORNIA;ESPECIALIDAD;ESPECIALIDAD EN ENDODONCIA;45;23;68;29;12;41;23;23;46;14;15;29
BAJA CALIFORNIA;ESPECIALIDAD;ESPECIALIDAD EN ENSEÑANZA DEL IDIOMA INGLÉS;13;8;21;13;8;21;6;2;8;6;2;8
BAJA CALIFORNIA;ESPECIALIDAD;ESPECIALIDAD EN ESTUDIOS DE GENERO EN EDUCACIÓN;4;1;5;4;1;5;2;3;5;0;0;0
BAJA CALIFORNIA;ESPECIALIDAD;ESPECIALIDAD EN ESTUDIOS DE LA FRONTERA MÉXICO-ESTADOS UNIDOS ;7;5;12;7;5;12;8;5;13;8;5;13
BAJA CALIFORNIA;ESPECIALIDAD;ESPECIALIDAD EN ESTUDIOS DE LAS CIUDADES DEL SIGLO XXI;7;11;18;7;11;18;9;11;20;9;11;20
BAJA CALIFORNIA;ESPECIALIDAD;ESPECIALIDAD EN EVALUACIÓN Y DIAGNÓSTICO NEUROPSICOLÓGICO             ;5;3;8;0;0;0;6;0;6;0;0;0
BAJA CALIFORNIA;ESPECIALIDAD;ESPECIALIDAD EN FILOSOFÍA, ÉTICA Y CIUDADANÍA ;2;2;4;0;0;0;0;0;0;0;0;0
BAJA CALIFORNIA;ESPECIALIDAD;ESPECIALIDAD EN GERENCIAMIENTO PÚBLICO;0;2;2;0;0;0;0;0;0;0;0;0
BAJA CALIFORNIA;ESPECIALIDAD;ESPECIALIDAD EN GESTIÓN AMBIENTAL;7;4;11;7;4;11;7;2;9;7;3;10
BAJA CALIFORNIA;ESPECIALIDAD;ESPECIALIDAD EN GRAFOSCOPÍA Y DOCUMENTOSCOPÍA;2;4;6;2;4;6;0;0;0;0;0;0
BAJA CALIFORNIA;ESPECIALIDAD;ESPECIALIDAD EN JUICIOS ORALES;11;7;18;11;7;18;6;2;8;0;0;0
BAJA CALIFORNIA;ESPECIALIDAD;ESPECIALIDAD EN MEDICINA FAMILIAR;94;39;133;14;8;22;24;24;48;33;27;60
BAJA CALIFORNIA;ESPECIALIDAD;ESPECIALIDAD EN MIGRACIÓN INTERNACIONAL   ;41;23;64;41;23;64;38;17;55;38;17;55
BAJA CALIFORNIA;ESPECIALIDAD;ESPECIALIDAD EN ODONTOLOGÍA PEDIÁTRICA;18;0;18;8;0;8;6;2;8;7;0;7
BAJA CALIFORNIA;ESPECIALIDAD;ESPECIALIDAD EN ORTODONCIA;147;65;212;75;25;100;180;107;287;16;25;41
BAJA CALIFORNIA;ESPECIALIDAD;ESPECIALIDAD EN PERIODONCIA;4;18;22;1;4;5;1;8;9;3;9;12
BAJA CALIFORNIA;ESPECIALIDAD;ESPECIALIDAD EN PROSTODONCIA;10;1;11;10;1;11;6;2;8;0;0;0
BAJA CALIFORNIA;ESPECIALIDAD;ESPECIALIDAD EN PSICOGERONTOLOGÍA             ;0;1;1;0;0;0;0;0;0;0;0;0
BAJA CALIFORNIA;ESPECIALIDAD;ESPECIALIDAD EN RECURSOS HUMANOS;11;2;13;0;0;0;10;3;13;10;3;13
BAJA CALIFORNIA;ESPECIALIDAD;ESPECIALIDAD EN TRADUCCIÓN E INTERPRETACIÓN;12;9;21;12;9;21;12;6;18;8;2;10
BAJA CALIFORNIA;ESPECIALIDAD;ESPECIALIDAD EN VALUACIÓN DE BIENES MUEBLES E INMUEBLES;7;13;20;2;8;10;6;20;26;6;20;26
BAJA CALIFORNIA;ESPECIALIDAD;ESPECIALIZACIÓN EN INDUSTRIA AEROESPACIAL   ;0;2;2;0;2;2;0;0;0;0;0;0
BAJA CALIFORNIA;MAESTRÍA;MAESTRÍA EN ACCIÓN PÚBLICA Y DESARROLLO SOCIAL;6;6;12;0;0;0;0;0;0;0;0;0
BAJA CALIFORNIA;MAESTRÍA;MAESTRÍA EN ADMINISTRACIÓN;161;152;313;15;27;42;42;40;82;50;36;86
BAJA CALIFORNIA;MAESTRÍA;MAESTRÍA EN ADMINISTRACIÓN COMPETITIVA DE ORGANIZACIONES;3;3;6;1;1;2;3;1;4;8;4;12
BAJA CALIFORNIA;MAESTRÍA;MAESTRÍA EN ADMINISTRACIÓN CON CONCENTRACIÓN EN ALTA DIRECCIÓN;6;3;9;0;0;0;17;30;47;17;30;47
BAJA CALIFORNIA;MAESTRÍA;MAESTRÍA EN ADMINISTRACIÓN CON CONCENTRACIÓN EN CADENA DE SUMINISTROS;0;1;1;0;0;0;1;0;1;1;0;1
BAJA CALIFORNIA;MAESTRÍA;MAESTRÍA EN ADMINISTRACIÓN CON CONCENTRACIÓN EN FINANZAS;0;2;2;0;0;0;6;6;12;6;6;12
BAJA CALIFORNIA;MAESTRÍA;MAESTRÍA EN ADMINISTRACIÓN CON CONCENTRACIÓN EN MERCADOTECNIA;1;0;1;0;0;0;4;1;5;4;1;5
BAJA CALIFORNIA;MAESTRÍA;MAESTRÍA EN ADMINISTRACIÓN CON CONCENTRACIÓN EN RECURSOS HUMANOS;1;0;1;0;0;0;0;1;1;0;1;1
BAJA CALIFORNIA;MAESTRÍA;MAESTRÍA EN ADMINISTRACIÓN DE NEGOCIOS;12;17;29;10;11;21;10;5;15;10;5;15
BAJA CALIFORNIA;MAESTRÍA;MAESTRÍA EN ADMINISTRACIÓN DE NEGOCIOS CON CONCENTRACIÓN EN ALTA DIRECCIÓN;144;215;359;23;44;67;50;61;111;50;61;111
BAJA CALIFORNIA;MAESTRÍA;MAESTRÍA EN ADMINISTRACIÓN DE NEGOCIOS CON CONCENTRACIÓN EN CADENA DE SUMINISTRO;23;36;59;2;7;9;4;2;6;4;2;6
BAJA CALIFORNIA;MAESTRÍA;MAESTRÍA EN ADMINISTRACIÓN DE NEGOCIOS CON CONCENTRACION EN EMPRENDIMIENTO;1;1;2;0;0;0;12;2;14;12;2;14
BAJA CALIFORNIA;MAESTRÍA;MAESTRÍA EN ADMINISTRACIÓN DE NEGOCIOS CON CONCENTRACIÓN EN ESTRATEGIA EMPRESARIAL;39;50;89;0;1;1;23;33;56;23;33;56
BAJA CALIFORNIA;MAESTRÍA;MAESTRÍA EN ADMINISTRACIÓN DE NEGOCIOS CON CONCENTRACIÓN EN FINANZAS;38;71;109;2;4;6;23;36;59;23;36;59
BAJA CALIFORNIA;MAESTRÍA;MAESTRIA EN ADMINISTRACION DE NEGOCIOS CON CONCENTRACION EN INNOVACION EMPRENDEDORA;2;10;12;1;2;3;0;1;1;0;1;1
BAJA CALIFORNIA;MAESTRÍA;MAESTRIA EN ADMINISTRACION DE NEGOCIOS CON CONCENTRACION EN MERCADOTECNIA;13;14;27;2;2;4;10;3;13;10;3;13
BAJA CALIFORNIA;MAESTRÍA;MAESTRIA EN ADMINISTRACION DE NEGOCIOS CON CONCENTRACION EN RECURSOS HUMANOS;13;9;22;2;0;2;5;4;9;5;4;9
BAJA CALIFORNIA;MAESTRÍA;MAESTRIA EN ADMINISTRACIÒN DE NEGOCIOS E INGENIERIA          ;4;8;12;0;0;0;0;0;0;0;0;0
BAJA CALIFORNIA;MAESTRÍA;MAESTRIA EN ADMINISTRACIÓN DE NEGOCIOS, MBA             ;25;40;65;0;0;0;8;11;19;0;0;0
BAJA CALIFORNIA;MAESTRÍA;MAESTRÍA EN ADMINISTRACIÓN DE ORGANIZACIONES;3;2;5;0;0;0;0;0;0;0;0;0
BAJA CALIFORNIA;MAESTRÍA;MAESTRÍA EN ADMINISTRACIÓN DE PROCESOS INDUSTRIALES;8;14;22;5;7;12;0;0;0;0;0;0
BAJA CALIFORNIA;MAESTRÍA;MAESTRÍA EN ADMINISTRACIÓN DE RECURSOS HUMANOS;47;34;81;14;12;26;21;9;30;7;8;15
BAJA CALIFORNIA;MAESTRÍA;MAESTRÍA EN ADMINISTRACIÓN DEL CAPITAL HUMANO;16;8;24;9;1;10;0;0;0;0;0;0
BAJA CALIFORNIA;MAESTRÍA;MAESTRÍA EN ADMINISTRACIÓN EDUCATIVA;6;2;8;0;0;0;5;1;6;0;0;0
BAJA CALIFORNIA;MAESTRÍA;MAESTRÍA EN ADMINISTRACIÓN EMPRESARIAL;10;20;30;2;3;5;0;0;0;0;0;0
BAJA CALIFORNIA;MAESTRÍA;MAESTRÍA EN ADMINISTRACIÓN INTEGRAL DEL AMBIENTE;9;5;14;0;0;0;0;0;0;0;0;0
BAJA CALIFORNIA;MAESTRÍA;MAESTRÍA EN ADMINISTRACIÓN ODONTOLÓGICA;1;1;2;0;0;0;0;0;0;3;1;4
BAJA CALIFORNIA;MAESTRÍA;MAESTRÍA EN ADMINISTRACIÓN PÚBLICA;14;16;30;7;3;10;9;9;18;4;4;8
BAJA CALIFORNIA;MAESTRÍA;MAESTRÍA EN ALTA DIRECCIÓN;35;25;60;8;11;19;18;13;31;4;5;9
BAJA CALIFORNIA;MAESTRÍA;MAESTRÍA EN ARQUITECTURA DE INTERIORES;1;0;1;0;0;0;0;0;0;1;1;2
BAJA CALIFORNIA;MAESTRÍA;MAESTRÍA EN ARQUITECTURA SUSTENTABLE;0;0;0;0;0;0;0;0;0;1;1;2
BAJA CALIFORNIA;MAESTRÍA;MAESTRÍA EN ARQUITECTURA, URBANISMO Y DISEÑO    ;10;4;14;10;4;14;0;0;0;0;0;0
BAJA CALIFORNIA;MAESTRÍA;MAESTRÍA EN CIENCIAS BIOMÉDICAS;7;7;14;7;7;14;0;0;0;0;0;0
BAJA CALIFORNIA;MAESTRÍA;MAESTRÍA EN CIENCIAS DE LA COMPUTACIÓN;1;10;11;0;2;2;0;3;3;1;4;5
BAJA CALIFORNIA;MAESTRÍA;MAESTRÍA EN CIENCIAS DE LA EDUCACIÓN;2;2;4;0;0;0;4;4;8;0;1;1
