ENTIDAD FEDERATIVA;PROGRAMA DE ESTUDIOS;Lugares Ofertados;Solicitudes de Primer Ingreso Hombres;Solicitudes de Primer Ingreso Mujeres;Solicitudes de Primer Ingreso;Primer Ingreso Hombres;Primer Ingreso Mujeres;Primer Ingreso Total;Matrícula Hombres;Matrícula Mujeres;Matrícula Total;Egresados Hombres;Egresados Mujeres;Egresados Total
AGUASCALIENTES;TOTAL;13994;9313;10202;19515;5088;4680;9768;17839;18229;36068;2242;2896;5138
AGUASCALIENTES;ARQUITECTURA;131;214;165;379;42;42;84;308;225;533;27;20;47
AGUASCALIENTES;CONTADOR PÚBLICO;215;116;171;287;41;61;102;311;452;763;55;97;152
AGUASCALIENTES;INGENIERÍA AGROINDUSTRIAL;40;35;15;50;25;13;38;71;54;125;7;2;9
AGUASCALIENTES;INGENIERÍA AGRÓNOMO;40;48;12;60;31;8;39;86;24;110;4;0;4
AGUASCALIENTES;INGENIERÍA BIOQUÍMICA;50;61;61;122;23;26;49;98;107;205;11;23;34
AGUASCALIENTES;INGENIERÍA CIVIL;120;310;38;348;68;7;75;388;48;436;28;2;30
AGUASCALIENTES;INGENIERÍA ELÉCTRICA;80;75;5;80;59;4;63;169;6;175;0;0;0
AGUASCALIENTES;INGENIERÍA ELECTRÓNICA;140;112;4;116;108;3;111;384;24;408;61;7;68
AGUASCALIENTES;INGENIERÍA EN AGRONOMÍA;60;67;16;83;55;13;68;151;53;204;20;3;23
AGUASCALIENTES;INGENIERÍA EN COMPUTACIÓN INTELIGENTE;50;73;16;89;41;8;49;96;18;114;0;0;0
AGUASCALIENTES;INGENIERÍA EN DESARROLLO E INNOVACIÓN EMPRESARIAL;80;25;55;80;0;0;0;158;304;462;45;111;156
AGUASCALIENTES;INGENIERÍA EN ELÉCTRICA;0;0;0;0;0;0;0;28;2;30;9;0;9
AGUASCALIENTES;INGENIERÍA EN ELECTRÓNICA;120;135;8;143;119;7;126;354;26;380;0;0;0
AGUASCALIENTES;INGENIERÍA EN ELECTRÓNICA Y SISTEMAS DIGITALES;10;39;4;43;9;0;9;19;1;20;1;0;1
AGUASCALIENTES;INGENIERÍA EN ENERGÍA;60;50;4;54;53;4;57;75;12;87;0;0;0
AGUASCALIENTES;INGENIERÍA EN GESTIÓN EMPRESARIAL;265;96;157;253;76;126;202;254;500;754;0;0;0
AGUASCALIENTES;INGENIERÍA EN INNOVACIÓN AGRÍCOLA SUSTENTABLE;30;27;8;35;27;8;35;67;15;82;0;0;0
AGUASCALIENTES;INGENIERÍA EN INNOVACIÓN Y DISEÑO;35;39;58;97;9;10;19;36;53;89;0;0;0
AGUASCALIENTES;INGENIERÍA EN INTELIGENCIA ARTIFICIAL;12;60;20;80;11;2;13;32;10;42;0;0;0
AGUASCALIENTES;INGENIERÍA EN LOGÍSTICA;80;14;18;32;10;14;24;48;68;116;0;0;0
AGUASCALIENTES;INGENIERÍA EN MANTENIMIENTO INDUSTRIAL;40;53;3;56;0;0;0;202;7;209;76;2;78
AGUASCALIENTES;INGENIERÍA EN MECATRÓNICA;325;367;67;434;200;20;220;847;100;947;137;14;151
AGUASCALIENTES;INGENIERÍA EN SISTEMAS;5;0;0;0;1;0;1;11;2;13;1;0;1
AGUASCALIENTES;INGENIERÍA EN SISTEMAS COMPUTACIONALES;180;199;62;261;116;33;149;420;94;514;44;18;62
AGUASCALIENTES;INGENIERÍA EN SISTEMAS DE COMPUTACIÓN;22;9;4;13;7;2;9;24;14;38;0;0;0
AGUASCALIENTES;INGENIERÍA EN SISTEMAS DE INFORMACIÓN ADMINISTRATIVOS;0;0;0;0;0;0;0;4;0;4;0;0;0
AGUASCALIENTES;INGENIERÍA EN SISTEMAS ESTRATÉGICOS DE INFORMACIÓN ESPECIALIZACIÓN EN REDES;60;74;16;90;49;16;65;129;36;165;18;6;24
AGUASCALIENTES;INGENIERÍA EN SISTEMAS PRODUCTIVOS;30;11;14;25;0;0;0;75;60;135;42;20;62
AGUASCALIENTES;INGENIERÍA EN TECNOLOGÍA DE LA INFORMACIÓN Y COMUNICACIÓN;160;136;75;211;116;49;165;239;104;343;0;0;0
AGUASCALIENTES;INGENIERÍA EN TECNOLOGÍAS DE INFORMACIÓN CON ESPECIALIDAD EN DESARROLLO DE SOFTWARE;60;35;30;65;35;30;65;70;53;123;0;0;0
AGUASCALIENTES;INGENIERÍA EN TECNOLOGÍAS DE INFORMACIÓN Y COMUNICACIONES;28;25;10;35;4;3;7;43;11;54;11;2;13
AGUASCALIENTES;INGENIERÍA EN TECNOLOGÍAS DE LA INFORMACIÓN Y COMUNICACIÓN;40;22;19;41;0;0;0;108;69;177;58;24;82
AGUASCALIENTES;INGENIERÍA EN TECNOLOGÍAS DE LA INFORMACIÓN Y COMUNICACIONES;80;35;15;50;32;12;44;47;20;67;0;0;0
AGUASCALIENTES;INGENIERÍA FINANCIERA Y FISCAL;0;0;0;0;0;0;0;27;65;92;8;30;38
AGUASCALIENTES;INGENIERÍA FISCAL Y FINANCIERA;20;10;14;24;9;13;22;12;24;36;7;14;21
AGUASCALIENTES;INGENIERÍA INDUSTRIAL;373;357;237;594;274;100;374;1118;459;1577;71;45;116
AGUASCALIENTES;INGENIERÍA INDUSTRIAL ADMINISTRADOR;0;0;0;0;0;0;0;5;1;6;10;3;13
AGUASCALIENTES;INGENIERÍA INDUSTRIAL ESTADÍSTICO;50;71;27;98;27;15;42;112;56;168;15;6;21
AGUASCALIENTES;INGENIERÍA INDUSTRIAL Y DE SISTEMAS;30;32;22;54;19;4;23;90;28;118;5;4;9
AGUASCALIENTES;INGENIERÍA MECÁNICA;100;254;2;256;157;1;158;469;11;480;58;0;58
AGUASCALIENTES;INGENIERÍA PROFESIONAL EN ROBÓTICA INDUSTRIAL;0;0;0;0;0;0;0;9;0;9;0;0;0
AGUASCALIENTES;INGENIERÍA QUÍMICA;0;0;0;0;0;0;0;18;22;40;6;10;16
AGUASCALIENTES;LICENCIATURA ASESOR PSICOPEDAGÓGICO;50;18;195;213;8;41;49;19;164;183;1;26;27
AGUASCALIENTES;LICENCIATURA EN ADMINISTRACIÓN;213;68;82;150;70;81;151;360;501;861;31;85;116
AGUASCALIENTES;LICENCIATURA EN ADMINISTRACIÓN DE EMPRESAS;489;295;342;637;189;205;394;452;507;959;69;91;160
AGUASCALIENTES;LICENCIATURA EN ADMINISTRACIÓN DE EMPRESAS TURÍSTICAS;0;0;0;0;0;0;0;1;4;5;2;3;5
AGUASCALIENTES;LICENCIATURA EN ADMINISTRACIÓN DE LA MERCADOTECNIA;22;50;20;70;13;9;22;38;32;70;0;0;0
AGUASCALIENTES;LICENCIATURA EN ADMINISTRACIÓN DE LA PRODUCCIÓN Y SERVICIOS;35;25;20;45;0;0;0;43;41;84;0;0;0
AGUASCALIENTES;LICENCIATURA EN ADMINISTRACIÓN FINANCIERA;108;90;69;159;35;22;57;135;113;248;13;21;34
AGUASCALIENTES;LICENCIATURA EN ADMINISTRACIÓN PÚBLICA;90;58;32;90;58;32;90;58;32;90;11;6;17
AGUASCALIENTES;LICENCIATURA EN ADMINISTRACIÓN Y COMERCIO;40;15;18;33;10;12;22;31;41;72;4;4;8
AGUASCALIENTES;LICENCIATURA EN ADMINISTRACIÓN Y DIRECCIÓN;20;30;30;60;11;8;19;26;22;48;0;0;0
AGUASCALIENTES;LICENCIATURA EN ADMINISTRACIÓN Y FINANZAS;22;45;15;60;8;10;18;45;25;70;0;0;0
AGUASCALIENTES;LICENCIATURA EN ADMINISTRACIÓN Y NEGOCIOS INTERNACIONALES;35;45;45;90;15;15;30;66;71;137;2;1;3
AGUASCALIENTES;LICENCIATURA EN ANÁLISIS QUÍMICO BIOLÓGICOS;100;47;93;140;22;27;49;97;164;261;3;19;22
AGUASCALIENTES;LICENCIATURA EN ARQUITECTURA;126;55;19;74;49;16;65;156;49;205;1;1;2
AGUASCALIENTES;LICENCIATURA EN ARTES ESCÉNICAS;35;14;33;47;8;15;23;17;28;45;0;0;0
AGUASCALIENTES;LICENCIATURA EN ARTES ESCÉNICAS Y AUDIOVISUALES;0;0;0;0;0;0;0;13;10;23;3;5;8
AGUASCALIENTES;LICENCIATURA EN ARTES VISUALES;40;72;81;153;19;22;41;53;61;114;9;9;18
AGUASCALIENTES;LICENCIATURA EN ATENCIÓN PREHOSPITALARIA;100;19;12;31;19;12;31;19;12;31;0;0;0
AGUASCALIENTES;LICENCIATURA EN BIOLOGÍA;50;46;36;82;29;21;50;72;92;164;12;11;23
AGUASCALIENTES;LICENCIATURA EN BIOTECNOLOGÍA;40;46;34;80;28;22;50;48;46;94;0;0;0
AGUASCALIENTES;LICENCIATURA EN CIENCIAS AMBIENTALES;50;26;35;61;19;29;48;73;96;169;9;16;25
AGUASCALIENTES;LICENCIATURA EN CIENCIAS DE LA COMUNICACIÓN;92;41;51;92;41;51;92;41;51;92;7;2;9
AGUASCALIENTES;LICENCIATURA EN CIENCIAS DEL ARTE Y GESTIÓN CULTURAL;40;15;20;35;10;20;30;51;89;140;0;0;0
AGUASCALIENTES;LICENCIATURA EN CIENCIAS DEL DEPORTE;80;57;13;70;57;10;67;109;40;149;28;5;33
AGUASCALIENTES;LICENCIATURA EN CIENCIAS POLÍTICAS Y ADMINISTRACIÓN PÚBLICA;50;46;25;71;31;19;50;108;80;188;12;13;25
AGUASCALIENTES;LICENCIATURA EN CIENCIAS Y TÉCNICAS DE LA COMUNICACIÓN;40;10;23;33;10;23;33;30;43;73;2;3;5
AGUASCALIENTES;LICENCIATURA EN COMERCIO INTERNACIONAL;147;66;62;128;39;44;83;99;107;206;17;10;27
AGUASCALIENTES;LICENCIATURA EN COMUNICACIÓN;126;8;22;30;15;26;41;55;70;125;2;7;9
AGUASCALIENTES;LICENCIATURA EN COMUNICACIÓN E INFORMACIÓN;40;80;98;178;21;20;41;63;81;144;12;8;20
AGUASCALIENTES;LICENCIATURA EN COMUNICACIÓN INTERINSTITUCIONAL;20;10;10;20;4;7;11;10;14;24;4;29;33
AGUASCALIENTES;LICENCIATURA EN COMUNICACIÓN ORGANIZACIONAL;40;28;70;98;13;27;40;69;121;190;8;25;33
AGUASCALIENTES;LICENCIATURA EN CONTABILIDAD FINANCIERA;30;7;13;20;7;13;20;7;13;20;0;0;0
AGUASCALIENTES;LICENCIATURA EN CONTADURÍA;70;22;23;45;11;16;27;32;47;79;4;9;13
AGUASCALIENTES;LICENCIATURA EN CONTADURÍA PÚBLICA;56;2;2;4;0;0;0;2;3;5;0;0;0
AGUASCALIENTES;LICENCIATURA EN CONTADURÍA PÚBLICA CAMPO FISCAL;30;9;9;18;6;6;12;17;26;43;0;3;3
AGUASCALIENTES;LICENCIATURA EN CONTADURÍA PÚBLICA Y FINANZAS;0;5;6;11;1;1;2;9;8;17;4;6;10
AGUASCALIENTES;LICENCIATURA EN CONTADURÍA Y FINANZAS;3;0;0;0;2;0;2;6;12;18;4;4;8
AGUASCALIENTES;LICENCIATURA EN CRIMINOLOGÍA;180;68;85;153;43;55;98;100;126;226;19;33;52
AGUASCALIENTES;LICENCIATURA EN CULTURA FÍSICA Y DEL DEPORTE;50;124;34;158;37;11;48;108;46;154;0;0;0
AGUASCALIENTES;LICENCIATURA EN DANZA CLÁSICA EN LA MODALIDAD DE INTERPRETE;20;4;20;24;0;16;16;0;40;40;0;0;0
AGUASCALIENTES;LICENCIATURA EN DANZA CONTEMPORÁNEA EN LA MODALIDAD DE INTERPRETE;20;12;19;31;6;13;19;15;34;49;0;0;0
AGUASCALIENTES;LICENCIATURA EN DERECHO;1401;877;711;1588;607;437;1044;1379;1257;2636;249;212;461
AGUASCALIENTES;LICENCIATURA EN DESARROLLO E INNOVACIÓN EMPRESARIAL;25;5;10;15;0;0;0;15;23;38;0;0;0
AGUASCALIENTES;LICENCIATURA EN DIRECCION DE NEGOCIOS GASTRONOMICOS;20;26;60;86;8;13;21;8;22;30;0;0;0
AGUASCALIENTES;LICENCIATURA EN DISEÑO ARQUITECTÓNICO Y DE INTERIORES;100;53;38;91;44;31;75;159;97;256;31;26;57
AGUASCALIENTES;LICENCIATURA EN DISEÑO DE INTERIORES;40;12;76;88;0;0;0;13;125;138;2;14;16
AGUASCALIENTES;LICENCIATURA EN DISEÑO DE MODAS E INDUMENTARIA Y TEXTILES;80;17;173;190;4;37;41;24;282;306;2;44;46
AGUASCALIENTES;LICENCIATURA EN DISEÑO E INDUSTRIA DEL VESTIDO;20;1;17;18;1;17;18;1;27;28;0;0;0
AGUASCALIENTES;LICENCIATURA EN DISEÑO GRÁFICO;115;121;117;238;23;32;55;157;203;360;26;27;53
AGUASCALIENTES;LICENCIATURA EN DISEÑO INDUSTRIAL;108;94;80;174;33;28;61;153;139;292;15;23;38
AGUASCALIENTES;LICENCIATURA EN DISEÑO TEXTIL Y CREACIÓN DE MODAS;30;10;20;30;1;18;19;4;73;77;0;6;6
AGUASCALIENTES;LICENCIATURA EN DOCENCIA DE FRANCÉS Y ESPAÑOL COMO LENGUA EXTRANJERA;50;14;50;64;8;37;45;8;37;45;0;0;0
AGUASCALIENTES;LICENCIATURA EN DOCENCIA DE LA DANZA CLÁSICA FOLKLÓRICA MEXICANA;30;15;15;30;10;11;21;23;24;47;0;0;0
AGUASCALIENTES;LICENCIATURA EN ECONOMÍA;45;23;21;44;22;18;40;75;46;121;8;9;17
AGUASCALIENTES;LICENCIATURA EN ECONOMÍA Y ADMINISTRACIÓN EMPRESARIAL;45;27;18;45;18;10;28;86;62;148;47;53;100
AGUASCALIENTES;LICENCIATURA EN EDUCACIÓN;68;18;31;49;16;38;54;91;398;489;7;78;85
AGUASCALIENTES;LICENCIATURA EN EDUCACIÓN ESPECIAL;57;20;92;112;13;44;57;29;154;183;2;10;12
AGUASCALIENTES;LICENCIATURA EN EDUCACIÓN FÍSICA;89;138;62;200;59;30;89;168;92;260;37;21;58
AGUASCALIENTES;LICENCIATURA EN EDUCACIÓN PREESCOLAR;124;0;520;520;0;124;124;0;478;478;0;132;132
AGUASCALIENTES;LICENCIATURA EN EDUCACIÓN PRIMARIA;305;252;953;1205;50;255;305;155;843;998;40;214;254
AGUASCALIENTES;LICENCIATURA EN EDUCACIÓN SECUNDARIA CON ESPECIALIDAD EN BIOLOGÍA;0;0;0;0;0;0;0;0;0;0;12;19;31
AGUASCALIENTES;LICENCIATURA EN EDUCACIÓN SECUNDARIA CON ESPECIALIDAD EN ESPAÑOL;151;41;66;107;13;17;30;19;38;57;0;0;0
AGUASCALIENTES;LICENCIATURA EN EDUCACIÓN SECUNDARIA CON ESPECIALIDAD EN FÍSICA;0;0;0;0;0;0;0;0;0;0;9;5;14
AGUASCALIENTES;LICENCIATURA EN EDUCACIÓN SECUNDARIA CON ESPECIALIDAD EN FORMACIÓN CÍVICA Y ÉTICA;0;0;0;0;0;0;0;8;20;28;0;0;0
AGUASCALIENTES;LICENCIATURA EN EDUCACIÓN SECUNDARIA CON ESPECIALIDAD EN GEOGRAFÍA;0;0;0;0;0;0;0;21;31;52;0;0;0
AGUASCALIENTES;LICENCIATURA EN EDUCACIÓN SECUNDARIA CON ESPECIALIDAD EN INGLÉS;151;47;59;106;41;50;91;77;83;160;0;1;1
AGUASCALIENTES;LICENCIATURA EN EDUCACIÓN SECUNDARIA CON ESPECIALIDAD EN MATEMÁTICAS;151;49;56;105;16;14;30;16;14;30;15;13;28
AGUASCALIENTES;LICENCIATURA EN EDUCACIÓN SECUNDARIA CON ESPECIALIDAD EN QUÍMICA;0;0;0;0;0;0;0;17;6;23;0;1;1
AGUASCALIENTES;LICENCIATURA EN EDUCACIÓN SECUNDARIA CON ESPECIALIDAD EN TELESECUNDARIA;0;0;0;0;0;0;0;11;20;31;0;0;0
AGUASCALIENTES;LICENCIATURA EN ENFERMERÍA;380;153;419;572;72;163;235;207;631;838;7;48;55
AGUASCALIENTES;LICENCIATURA EN ENSEÑANZA DEL IDIOMA INGLÉS;20;15;10;25;10;5;15;16;20;36;0;0;0
AGUASCALIENTES;LICENCIATURA EN ENSEÑANZA DEL INGLÉS;50;72;108;180;23;27;50;97;132;229;2;8;10
AGUASCALIENTES;LICENCIATURA EN FILOSOFÍA;30;9;4;13;8;3;11;30;18;48;3;1;4
AGUASCALIENTES;LICENCIATURA EN FISIOTERAPIA;40;8;24;32;8;24;32;12;48;60;0;0;0
AGUASCALIENTES;LICENCIATURA EN GESTIÓN TURÍSTICA;60;22;57;79;7;23;30;66;199;265;11;28;39
AGUASCALIENTES;LICENCIATURA EN GOBIERNO Y ADMINISTRACIÓN PÚBLICA;30;11;8;19;9;5;14;9;5;14;0;0;0
AGUASCALIENTES;LICENCIATURA EN HISTORIA;30;17;14;31;11;11;22;52;43;95;9;5;14
AGUASCALIENTES;LICENCIATURA EN INFORMÁTICA;0;0;0;0;0;0;0;227;181;408;27;31;58
AGUASCALIENTES;LICENCIATURA EN INFORMÁTICA Y ADMINISTRACIÓN;40;19;16;35;17;14;31;36;18;54;37;6;43
AGUASCALIENTES;LICENCIATURA EN INGENIERÍA EN SISTEMAS COMPUTACIONALES;35;16;0;16;16;0;16;37;5;42;0;0;0
AGUASCALIENTES;LICENCIATURA EN INGENIERÍA EN SISTEMAS DE INFORMACIÓN;15;10;3;13;10;3;13;25;3;28;0;0;0
AGUASCALIENTES;LICENCIATURA EN INGENIERÍA EN TECNOLOGÍAS ENERGÉTICAS;15;4;6;10;10;3;13;17;4;21;0;0;0
AGUASCALIENTES;LICENCIATURA EN INGENIERÍA INDUSTRIAL Y CAPITAL HUMANO;25;10;8;18;7;8;15;36;18;54;0;0;0
AGUASCALIENTES;LICENCIATURA EN INGENIERÍA INDUSTRIAL Y DE SISTEMAS;5;6;1;7;6;1;7;18;5;23;4;0;4
AGUASCALIENTES;LICENCIATURA EN INGENIERÍA MECÁNICA;120;134;0;134;119;0;119;456;2;458;0;0;0
AGUASCALIENTES;LICENCIATURA EN INGENIERÍA QUÍMICA;90;46;65;111;37;47;84;122;163;285;0;0;0
AGUASCALIENTES;LICENCIATURA EN INTERVENCIÓN EDUCATIVA;0;0;0;0;0;0;0;3;17;20;27;84;111
AGUASCALIENTES;LICENCIATURA EN KINESIOLOGÍA;50;24;20;44;24;20;44;37;43;80;0;4;4
AGUASCALIENTES;LICENCIATURA EN LETRAS HISPÁNICAS;30;15;26;41;9;21;30;38;81;119;6;7;13
AGUASCALIENTES;LICENCIATURA EN MATEMÁTICAS APLICADAS;40;22;22;44;19;19;38;48;52;100;3;4;7
AGUASCALIENTES;LICENCIATURA EN MERCADOTECNIA;247;107;142;249;52;78;130;307;394;701;49;72;121
AGUASCALIENTES;LICENCIATURA EN MERCADOTECNIA CAMPO DISEÑO;55;23;8;31;14;5;19;39;26;65;2;8;10
AGUASCALIENTES;LICENCIATURA EN MERCADOTECNIA Y COMUNICACIÓN;28;35;9;44;18;2;20;67;17;84;2;3;5
AGUASCALIENTES;LICENCIATURA EN MERCADOTECNIA Y COMUNICACIÓN PUBLICITARIA;25;3;7;10;2;5;7;8;14;22;0;0;0
AGUASCALIENTES;LICENCIATURA EN MERCADOTECNIA Y DISEÑO GRÁFICO;105;52;44;96;43;30;73;170;117;287;44;34;78
AGUASCALIENTES;LICENCIATURA EN MERCADOTECNIA Y MEDIOS DE COMUNICACIÓN;130;53;77;130;48;53;101;229;256;485;37;48;85
AGUASCALIENTES;LICENCIATURA EN MERCADOTECNIA Y NEGOCIOS INTERNACIONALES;35;16;19;35;15;13;28;62;53;115;42;22;64
AGUASCALIENTES;LICENCIATURA EN MÚSICA;30;41;9;50;13;3;16;37;14;51;0;0;0
AGUASCALIENTES;LICENCIATURA EN NEGOCIACIÓN INTERNACIONAL;90;22;15;37;5;3;8;17;13;30;3;2;5
AGUASCALIENTES;LICENCIATURA EN NEGOCIOS GASTRONÓMICOS;0;0;0;0;0;0;0;15;22;37;0;8;8
AGUASCALIENTES;LICENCIATURA EN NEGOCIOS GASTRONÓMICOS Y EMPRESAS TURÍSTICAS;100;43;45;88;39;44;83;137;149;286;17;16;33
AGUASCALIENTES;LICENCIATURA EN NEGOCIOS Y ADMINISTRACIÓN;120;70;116;186;64;102;166;157;236;393;16;30;46
AGUASCALIENTES;LICENCIATURA EN NUTRICIÓN;327;141;357;498;70;180;250;207;638;845;17;84;101
AGUASCALIENTES;LICENCIATURA EN ODONTOLOGÍA;50;13;20;33;13;20;33;43;51;94;0;0;0
AGUASCALIENTES;LICENCIATURA EN OPTOMETRÍA;50;19;24;43;16;21;37;73;116;189;11;16;27
AGUASCALIENTES;LICENCIATURA EN PEDAGOGÍA;126;26;100;126;1;27;28;9;79;88;2;24;26
AGUASCALIENTES;LICENCIATURA EN PEDAGOGÍA INFANTIL;150;8;153;161;8;148;156;17;399;416;2;46;48
AGUASCALIENTES;LICENCIATURA EN PSICOLOGÍA;277;127;340;467;33;113;146;143;455;598;20;59;79
AGUASCALIENTES;LICENCIATURA EN PSICOLOGÍA CLÍNICA;30;0;0;0;0;0;0;9;43;52;3;9;12
AGUASCALIENTES;LICENCIATURA EN PSICOLOGÍA HUMANISTA;290;55;161;216;50;134;184;173;480;653;50;149;199
AGUASCALIENTES;LICENCIATURA EN PSICOLOGÍA INDUSTRIAL;0;0;0;0;0;0;0;8;23;31;0;2;2
AGUASCALIENTES;LICENCIATURA EN PUBLICIDAD;20;0;0;0;0;0;0;7;2;9;0;0;0
AGUASCALIENTES;LICENCIATURA EN PUBLICIDAD Y MERCADOTECNIA;15;2;8;10;2;6;8;23;28;51;11;5;16
AGUASCALIENTES;LICENCIATURA EN RELACIONES INDUSTRIALES;100;49;97;146;16;34;50;110;246;356;18;40;58
AGUASCALIENTES;LICENCIATURA EN RELACIONES INTERNACIONALES;10;0;0;0;4;3;7;20;14;34;2;8;10
AGUASCALIENTES;LICENCIATURA EN SALUD PÚBLICA;45;11;19;30;5;15;20;16;60;76;0;2;2
AGUASCALIENTES;LICENCIATURA EN SERVICIOS DE GASTRONOMÍA;35;13;10;23;13;10;23;34;26;60;1;1;2
AGUASCALIENTES;LICENCIATURA EN SISTEMAS DE COMPUTACIÓN ADMINISTRATIVA;3;2;0;2;2;0;2;12;3;15;2;0;2
AGUASCALIENTES;LICENCIATURA EN SOCIOLOGÍA;30;11;16;27;9;13;22;25;34;59;4;3;7
AGUASCALIENTES;LICENCIATURA EN TEATRO;30;14;14;28;7;9;16;17;22;39;0;0;0
AGUASCALIENTES;LICENCIATURA EN TECNOLOGÍAS DE INFORMACIÓN;80;62;19;81;41;14;55;158;73;231;7;4;11
AGUASCALIENTES;LICENCIATURA EN TERAPIA FÍSICA;270;0;0;0;0;0;0;57;155;212;16;43;59
AGUASCALIENTES;LICENCIATURA EN TRABAJO SOCIAL;50;13;105;118;9;41;50;16;216;232;1;30;31
AGUASCALIENTES;LICENCIATURA EN TURISMO;25;2;2;4;2;2;4;4;7;11;0;1;1
AGUASCALIENTES;LICENCIATURA EN URBANISMO;40;42;13;55;29;11;40;111;38;149;11;4;15
AGUASCALIENTES;LICENCIATURA EN VENTAS;5;1;3;4;2;1;3;11;7;18;0;0;0
AGUASCALIENTES;LICENCIATURA INTERNACIONAL EN ADMINISTRACIÓN DE EMPRESAS DE LA HOSPITALIDAD;41;16;18;34;16;18;34;48;67;115;0;0;0
AGUASCALIENTES;MÉDICO CIRUJANO;140;415;473;888;52;50;102;370;306;676;58;45;103
AGUASCALIENTES;MÉDICO CIRUJANO INTEGRAL;150;61;64;125;61;64;125;144;153;297;0;0;0
AGUASCALIENTES;MÉDICO ESTOMATÓLOGO;220;153;269;422;65;95;160;225;341;566;10;15;25
AGUASCALIENTES;MÉDICO VETERINARIO ZOOTECNISTA;90;152;100;252;22;23;45;230;147;377;18;11;29
AGUASCALIENTES;TRONCO COMÚN EN INGENIERÍA;0;3;2;5;1;1;2;3;7;10;0;0;0
BAJA CALIFORNIA;TOTAL;34180;20814;22880;43694;10333;9857;20190;43505;43413;86918;4799;5754;10553
BAJA CALIFORNIA;ARQUITECTO;580;541;493;1034;127;162;289;846;823;1669;77;75;152
BAJA CALIFORNIA;ARQUITECTURA;128;217;164;381;70;58;128;168;164;332;0;0;0
BAJA CALIFORNIA;BIOINGENIERÍA;330;149;21;170;100;32;132;301;148;449;0;0;0
BAJA CALIFORNIA;BIÓLOGO;121;63;37;100;46;26;72;146;157;303;16;15;31
BAJA CALIFORNIA;BIOTECNÓLOGO EN ACUACULTURA;46;22;11;33;11;13;24;60;44;104;7;2;9
BAJA CALIFORNIA;CIRUJANO DENTISTA;630;434;794;1228;95;190;285;583;1118;1701;66;117;183
BAJA CALIFORNIA;CONTADOR PÚBLICO;173;85;142;227;52;90;142;105;197;302;3;6;9
BAJA CALIFORNIA;INGENIERÍA AEROESPACIAL;322;144;43;187;106;23;129;309;52;361;0;0;0
BAJA CALIFORNIA;INGENIERÍA AGRÓNOMO;190;191;34;225;74;15;89;345;89;434;38;10;48
BAJA CALIFORNIA;INGENIERÍA AGRÓNOMO ZOOTECNISTA;30;28;6;34;15;1;16;62;9;71;5;1;6
BAJA CALIFORNIA;INGENIERÍA BIOQUÍMICA;0;0;0;0;0;0;0;23;22;45;13;21;34
BAJA CALIFORNIA;INGENIERÍA CIVIL;806;695;135;830;363;95;458;1711;415;2126;182;41;223
BAJA CALIFORNIA;INGENIERÍA DE SOFTWARE;0;3;2;5;4;3;7;13;9;22;0;0;0
BAJA CALIFORNIA;INGENIERÍA ELÉCTRICA;35;69;6;75;41;3;44;84;4;88;0;0;0
BAJA CALIFORNIA;INGENIERÍA ELÉCTRICO;71;66;18;84;27;7;34;191;31;222;17;2;19
BAJA CALIFORNIA;INGENIERÍA ELECTROMECÁNICA;50;89;5;94;89;4;93;219;8;227;0;0;0
BAJA CALIFORNIA;INGENIERÍA ELECTRÓNICA;187;159;32;191;94;21;115;400;57;457;74;6;80
BAJA CALIFORNIA;INGENIERÍA EN CIBERNÉTICA ELECTRÓNICA;22;13;8;21;20;7;27;81;23;104;19;2;21
BAJA CALIFORNIA;INGENIERÍA EN CIENCIAS COMPUTACIONALES;26;18;8;26;19;6;25;70;20;90;15;3;18
BAJA CALIFORNIA;INGENIERÍA EN CIENCIAS COMPUTACIONALES Y TELECOMUNICACIONES;5;4;1;5;4;1;5;19;1;20;6;3;9
BAJA CALIFORNIA;INGENIERÍA EN COMPUTACIÓN;538;454;134;588;171;47;218;916;208;1124;62;25;87
BAJA CALIFORNIA;INGENIERÍA EN DESARROLLO DE NEGOCIOS E INNOVACIÓN EMPRESARIAL;0;0;0;0;0;0;0;37;63;100;19;33;52
BAJA CALIFORNIA;INGENIERÍA EN DESARROLLO DE SOFTWARE;15;14;1;15;14;1;15;36;1;37;6;0;6
BAJA CALIFORNIA;INGENIERÍA EN DISEÑO GRÁFICO DIGITAL;41;25;68;93;21;34;55;104;101;205;7;17;24
BAJA CALIFORNIA;INGENIERÍA EN ELÉCTRICA;0;0;0;0;0;0;0;92;2;94;26;1;27
BAJA CALIFORNIA;INGENIERÍA EN ELECTROMECÁNICA;0;0;0;0;0;0;0;484;25;509;126;6;132
BAJA CALIFORNIA;INGENIERÍA EN ELECTROMECÁNICA INDUSTRIAL;0;0;0;0;0;0;0;105;3;108;40;0;40
BAJA CALIFORNIA;INGENIERÍA EN ELECTRÓNICA;235;219;53;272;79;26;105;542;110;652;75;11;86
BAJA CALIFORNIA;INGENIERÍA EN ELECTRÓNICA Y DE COMUNICACIONES;0;0;0;0;0;0;0;0;0;0;0;0;0
BAJA CALIFORNIA;INGENIERÍA EN ENERGÍA;120;60;20;80;43;8;51;97;15;112;0;0;0
BAJA CALIFORNIA;INGENIERÍA EN ENERGÍAS RENOVABLES;177;93;20;113;63;26;89;173;63;236;0;0;0
