ENTIDAD FEDERATIVA;NOMBRE PROGRAMA EDUCATIVO;Matrícula Mujeres;Matrícula Hombres;Matrícula Total;Nuevo Ingreso Mujeres;Nuevo Ingreso Hombres;Nuevo Ingreso Total;Egresados Mujeres;Egresados Hombres;Egresados Total;Titulados Mujeres;Titulados Hombres;Titulados Total
CIUDAD DE MÉXICO;LICENCIATURA EN MERCADOTECNIA DIGITAL;120;107;227;66;55;121;0;0;0;1;0;1
CIUDAD DE MÉXICO;LICENCIATURA EN MERCADOTECNIA DIGITAL Y PUBLICIDAD ;25;23;48;25;23;48;0;0;0;0;0;0
CIUDAD DE MÉXICO;LICENCIATURA EN MERCADOTECNIA ESTRATÉGICA;34;38;72;17;10;27;0;0;0;0;0;0
CIUDAD DE MÉXICO;LICENCIATURA EN MERCADOTECNIA INTERNACIONAL;2951;2123;5074;665;503;1168;90;64;154;63;31;94
CIUDAD DE MÉXICO;LICENCIATURA EN MERCADOTECNIA PUBLICITARIA;5;4;9;0;0;0;4;4;8;3;2;5
CIUDAD DE MÉXICO;LICENCIATURA EN MERCADOTECNIA Y ANÁLISIS DEL CONSUMIDOR;25;15;40;6;5;11;8;4;12;0;0;0
CIUDAD DE MÉXICO;LICENCIATURA EN MERCADOTECNIA Y COMUNICACIÓN;333;116;449;9;4;13;93;21;114;93;21;114
CIUDAD DE MÉXICO;LICENCIATURA EN MERCADOTECNIA Y DIRECCIÓN DE NEGOCIOS;9;7;16;4;2;6;2;0;2;1;0;1
CIUDAD DE MÉXICO;LICENCIATURA EN MERCADOTECNIA Y PUBLICIDAD;893;557;1450;155;120;275;159;113;272;69;48;117
CIUDAD DE MÉXICO;LICENCIATURA EN MERCADOTECNIA Y RELACIONES COMERCIALES;19;21;40;10;12;22;0;0;0;0;0;0
CIUDAD DE MÉXICO;LICENCIATURA EN MERCADOTECNIA Y VENTAS;333;268;601;323;253;576;0;0;0;0;0;0
CIUDAD DE MÉXICO;LICENCIATURA EN MODA Y CREACIÓN;77;11;88;20;4;24;8;1;9;18;3;21
CIUDAD DE MÉXICO;LICENCIATURA EN MODELACIÓN MATEMATICA;155;190;345;73;90;163;2;0;2;1;0;1
CIUDAD DE MÉXICO;LICENCIATURA EN MODELADO Y ANIMACIÓN 3D;143;204;347;16;36;52;3;11;14;0;0;0
CIUDAD DE MÉXICO;LICENCIATURA EN MÚSICA;16;23;39;6;8;14;3;11;14;4;6;10
CIUDAD DE MÉXICO;LICENCIATURA EN MÚSICA ANTIGUA CON ESPECIALIDAD EN FLAUTA DE PICO;1;0;1;0;0;0;0;1;1;1;1;2
CIUDAD DE MÉXICO;LICENCIATURA EN MÚSICA ANTIGUA CON ESPECIALIDAD EN FLAUTA TRAVERSA BARROCA;0;2;2;0;1;1;0;0;0;0;0;0
CIUDAD DE MÉXICO;LICENCIATURA EN MÚSICA ANTIGUA CON ESPECIALIDAD EN ÓRGANO;1;4;5;0;0;0;0;1;1;0;0;0
CIUDAD DE MÉXICO;LICENCIATURA EN MÚSICA E INNOVACIÓN;44;69;113;10;22;32;0;0;0;0;0;0
CIUDAD DE MÉXICO;LICENCIATURA EN MÚSICA Y TECNOLOGÍA ARTISTICA;10;51;61;3;17;20;0;0;0;0;0;0
CIUDAD DE MÉXICO;LICENCIATURA EN MUSICOLOGÍA;7;4;11;4;0;4;2;0;2;0;1;1
CIUDAD DE MÉXICO;LICENCIATURA EN NEGOCIOS DE ENTRETENIMIENTO;12;7;19;12;7;19;0;0;0;0;0;0
CIUDAD DE MÉXICO;LICENCIATURA EN NEGOCIOS DE LA MÚSICA ;23;55;78;11;33;44;1;5;6;0;0;0
CIUDAD DE MÉXICO;LICENCIATURA EN NEGOCIOS FINANCIEROS Y BANCARIOS;9;19;28;0;0;0;0;7;7;1;5;6
CIUDAD DE MÉXICO;LICENCIATURA EN NEGOCIOS GASTRONÓMICOS;11;6;17;0;0;0;2;0;2;0;1;1
CIUDAD DE MÉXICO;LICENCIATURA EN NEGOCIOS INTERNACIONALES;3841;3287;7128;930;800;1730;496;380;876;378;241;619
CIUDAD DE MÉXICO;LICENCIATURA EN NEGOCIOS INTERNACIONALES Y ADUANALES;81;66;147;24;22;46;9;14;23;14;5;19
CIUDAD DE MÉXICO;LICENCIATURA EN NEGOCIOS Y COMERCIO INTERNACIONALES;13;19;32;8;8;16;0;0;0;0;0;0
CIUDAD DE MÉXICO;LICENCIATURA EN NEGOCIOS, ARTES CINEMATOGRÁFICAS Y TELEVISIVAS;25;86;111;1;8;9;3;5;8;0;0;0
CIUDAD DE MÉXICO;LICENCIATURA EN NEUROCIENCIAS;66;45;111;21;16;37;0;0;0;0;0;0
CIUDAD DE MÉXICO;LICENCIATURA EN NUTRICIÓN;3015;1204;4219;807;330;1137;627;172;799;338;79;417
CIUDAD DE MÉXICO;LICENCIATURA EN NUTRICIÓN APLICADA;7292;1663;8955;1646;429;2075;36;9;45;0;0;0
CIUDAD DE MÉXICO;LICENCIATURA EN NUTRICIÓN Y BIENESTAR INTEGRAL;82;4;86;21;2;23;16;3;19;16;3;19
CIUDAD DE MÉXICO;LICENCIATURA EN NUTRICIÓN Y CIENCIAS DE LOS ALIMENTOS;210;13;223;34;3;37;36;2;38;20;0;20
CIUDAD DE MÉXICO;LICENCIATURA EN NUTRICIÓN Y DIETÉTICA;131;20;151;20;2;22;12;3;15;8;1;9
CIUDAD DE MÉXICO;LICENCIATURA EN NUTRICIÓN Y SALUD;315;126;441;94;45;139;6;2;8;5;2;7
CIUDAD DE MÉXICO;LICENCIATURA EN NUTRIOLOGÍA;99;18;117;54;12;66;0;0;0;0;0;0
CIUDAD DE MÉXICO;LICENCIATURA EN OBOE;4;6;10;2;1;3;1;0;1;0;0;0
CIUDAD DE MÉXICO;LICENCIATURA EN ODONTOLOGÍA;1434;659;2093;310;137;447;190;83;273;300;184;484
CIUDAD DE MÉXICO;LICENCIATURA EN OPTOMETRÍA;686;315;1001;282;107;389;102;40;142;116;59;175
CIUDAD DE MÉXICO;LICENCIATURA EN ÓRGANO;1;1;2;0;1;1;0;1;1;0;1;1
CIUDAD DE MÉXICO;LICENCIATURA EN PASTORAL CATEQUETICA;0;24;24;0;8;8;0;0;0;0;0;0
CIUDAD DE MÉXICO;LICENCIATURA EN PEDAGOGÍA;10572;2493;13065;2861;761;3622;1334;282;1616;864;152;1016
CIUDAD DE MÉXICO;LICENCIATURA EN PERCUSIONES;5;13;18;1;5;6;2;11;13;1;3;4
CIUDAD DE MÉXICO;LICENCIATURA EN PERIODISMO;119;128;247;41;34;75;61;43;104;31;22;53
CIUDAD DE MÉXICO;LICENCIATURA EN PERIODISMO Y MEDIOS DE INFORMACIÓN;0;0;0;0;0;0;0;1;1;0;1;1
CIUDAD DE MÉXICO;LICENCIATURA EN PIANO;60;128;188;11;28;39;10;22;32;3;10;13
CIUDAD DE MÉXICO;LICENCIATURA EN PLANEACIÓN TERRITORIAL;178;255;433;55;68;123;25;36;61;24;34;58
CIUDAD DE MÉXICO;LICENCIATURA EN POLÍTICA DE NEGOCIOS INTERNACIONALES;11;16;27;6;9;15;0;0;0;0;0;0
CIUDAD DE MÉXICO;LICENCIATURA EN POLÍTICA Y ADMINISTRACIÓN PÚBLICA;6;16;22;0;0;0;3;11;14;1;0;1
CIUDAD DE MÉXICO;LICENCIATURA EN POLÍTICA Y GESTIÓN SOCIAL;272;278;550;60;59;119;25;19;44;14;18;32
CIUDAD DE MÉXICO;LICENCIATURA EN POLÍTICAS Y PROYECTOS SOCIALES;951;656;1607;170;109;279;19;8;27;10;5;15
CIUDAD DE MÉXICO;LICENCIATURA EN PRODUCCIÓN ANIMAL;150;132;282;18;25;43;26;27;53;8;7;15
CIUDAD DE MÉXICO;LICENCIATURA EN PRODUCCIÓN DE ESPECTACULOS;107;39;146;30;15;45;5;4;9;0;0;0
CIUDAD DE MÉXICO;LICENCIATURA EN PRODUCCIÓN DE TELEVISIÓN;1;0;1;1;0;1;0;0;0;0;0;0
CIUDAD DE MÉXICO;LICENCIATURA EN PRODUCCIÓN DE TELEVISIÓN Y PLATAFORMAS DIGITALES ;2;15;17;2;15;17;0;0;0;0;0;0
CIUDAD DE MÉXICO;LICENCIATURA EN PRODUCCIÓN MUSICAL;42;123;165;8;18;26;2;5;7;2;4;6
CIUDAD DE MÉXICO;LICENCIATURA EN PRODUCCIÓN MUSICAL DIGITAL;2;34;36;2;34;36;0;0;0;0;0;0
CIUDAD DE MÉXICO;LICENCIATURA EN PROGRAMACIÓN DE VIDEOJUEGOS;2;65;67;1;30;31;0;3;3;0;0;0
CIUDAD DE MÉXICO;LICENCIATURA EN PROMOCIÓN DE LA SALUD;1664;454;2118;447;124;571;57;11;68;41;9;50
CIUDAD DE MÉXICO;LICENCIATURA EN PROMOCIÓN Y EDUCACIÓN PARA LA SALUD;1061;234;1295;258;68;326;6;2;8;0;0;0
CIUDAD DE MÉXICO;LICENCIATURA EN PROTECCIÓN CIVIL Y GESTIÓN DE RIESGOS;89;103;192;33;37;70;0;0;0;0;0;0
CIUDAD DE MÉXICO;LICENCIATURA EN PSICOLOGÍA;16926;6535;23461;3727;1620;5347;3081;1117;4198;2108;719;2827
CIUDAD DE MÉXICO;LICENCIATURA EN PSICOLOGÍA CLÍNICA;1;0;1;0;0;0;0;0;0;0;0;0
CIUDAD DE MÉXICO;LICENCIATURA EN PSICOLOGÍA CRIMINOLÓGICA;34;12;46;12;5;17;26;13;39;25;13;38
CIUDAD DE MÉXICO;LICENCIATURA EN PSICOLOGÍA EDUCATIVA;1758;486;2244;449;147;596;273;50;323;167;29;196
CIUDAD DE MÉXICO;LICENCIATURA EN PSICOLOGÍA HUMANISTA;66;15;81;27;9;36;25;5;30;0;0;0
CIUDAD DE MÉXICO;LICENCIATURA EN PSICOLOGÍA ORGANIZACIONAL;1078;468;1546;284;125;409;47;22;69;69;32;101
CIUDAD DE MÉXICO;LICENCIATURA EN PSICOLOGÍA SOCIAL;1188;518;1706;282;109;391;180;54;234;201;51;252
CIUDAD DE MÉXICO;LICENCIATURA EN PSICOPEDAGOGÍA;1008;518;1526;192;61;253;132;8;140;120;14;134
CIUDAD DE MÉXICO;LICENCIATURA EN PUBLICIDAD;133;86;219;20;21;41;28;16;44;23;14;37
CIUDAD DE MÉXICO;LICENCIATURA EN PUBLICIDAD Y MEDIOS;103;85;188;18;26;44;33;17;50;5;3;8
CIUDAD DE MÉXICO;LICENCIATURA EN PUBLICIDAD Y MERCADOTECNIA DIGITAL;3;5;8;0;0;0;23;8;31;8;8;16
CIUDAD DE MÉXICO;LICENCIATURA EN QUÍMICA;803;919;1722;159;164;323;79;80;159;52;70;122
CIUDAD DE MÉXICO;LICENCIATURA EN QUÍMICA DE ALIMENTOS;34;11;45;8;4;12;12;8;20;4;1;5
CIUDAD DE MÉXICO;LICENCIATURA EN QUÍMICA EN ALIMENTOS;916;470;1386;202;87;289;96;50;146;119;48;167
CIUDAD DE MÉXICO;LICENCIATURA EN QUÍMICA FARMACÉUTICA BIOLÓGICA;2476;1501;3977;469;297;766;350;219;569;267;195;462
CIUDAD DE MÉXICO;LICENCIATURA EN QUÍMICO FARMACÉUTICO BIÓLOGO;187;84;271;68;33;101;24;14;38;19;12;31
CIUDAD DE MÉXICO;LICENCIATURA EN RECURSOS HUMANOS;418;89;507;228;57;285;0;0;0;0;0;0
CIUDAD DE MÉXICO;LICENCIATURA EN RECURSOS HUMANOS Y RELACIONES LABORALES;0;0;0;0;0;0;0;0;0;1;0;1
CIUDAD DE MÉXICO;LICENCIATURA EN RELACIONES COMERCIALES;3519;2252;5771;831;495;1326;395;217;612;541;200;741
CIUDAD DE MÉXICO;LICENCIATURA EN RELACIONES COMERCIALES INTERNACIONALES;77;86;163;20;27;47;18;8;26;13;9;22
CIUDAD DE MÉXICO;LICENCIATURA EN RELACIONES INDUSTRIALES;0;0;0;0;0;0;0;2;2;3;0;3
CIUDAD DE MÉXICO;LICENCIATURA EN RELACIONES INTERNACIONALES;3982;2032;6014;1397;744;2141;594;270;864;251;117;368
CIUDAD DE MÉXICO;LICENCIATURA EN RELACIONES PÚBLICAS;1;0;1;0;0;0;0;0;0;0;0;0
CIUDAD DE MÉXICO;LICENCIATURA EN RESTAURACIÓN;84;22;106;19;6;25;14;4;18;17;2;19
CIUDAD DE MÉXICO;LICENCIATURA EN SALUD PÚBLICA Y URGENCIAS MÉDICAS;41;123;164;41;123;164;0;36;36;0;36;36
CIUDAD DE MÉXICO;LICENCIATURA EN SAXOFÓN;0;5;5;0;1;1;0;1;1;0;1;1
CIUDAD DE MÉXICO;LICENCIATURA EN SEGURIDAD ALIMENTARIA;107;64;171;28;27;55;0;0;0;0;0;0
CIUDAD DE MÉXICO;LICENCIATURA EN SEGURIDAD CIUDADANA;16;27;43;0;0;0;0;0;0;0;0;0
CIUDAD DE MÉXICO;LICENCIATURA EN SEGURIDAD PÚBLICA;937;1895;2832;175;297;472;59;126;185;38;66;104
CIUDAD DE MÉXICO;LICENCIATURA EN SEGURIDAD PÚBLICA Y CRIMINALÍSTICA;4;3;7;4;3;7;0;0;0;0;0;0
CIUDAD DE MÉXICO;LICENCIATURA EN SEGURIDAD Y PROTECCION A INSTALACIONES;15;19;34;0;0;0;0;0;0;0;0;0
CIUDAD DE MÉXICO;LICENCIATURA EN SISTEMAS COMPUTACIONALES;60;274;334;26;104;130;21;44;65;13;31;44
CIUDAD DE MÉXICO;LICENCIATURA EN SISTEMAS COMPUTARIZADOS E INFORMÁTICA;0;0;0;0;0;0;1;1;2;1;0;1
CIUDAD DE MÉXICO;LICENCIATURA EN SISTEMAS DE COMPUTACIÓN ADMINISTRATIVA;3;7;10;0;0;0;1;1;2;1;7;8
CIUDAD DE MÉXICO;LICENCIATURA EN SOCIOLOGÍA;2494;2029;4523;595;490;1085;226;200;426;172;119;291
CIUDAD DE MÉXICO;LICENCIATURA EN SOCIOLOGÍA EDUCATIVA;173;95;268;58;37;95;13;9;22;15;13;28
CIUDAD DE MÉXICO;LICENCIATURA EN TEATRO;16;9;25;6;0;6;0;2;2;1;0;1
CIUDAD DE MÉXICO;LICENCIATURA EN TEATRO Y ACTUACIÓN;75;60;135;8;7;15;7;6;13;3;1;4
CIUDAD DE MÉXICO;LICENCIATURA EN TECNOLOGÍA;13;71;84;4;14;18;4;7;11;1;6;7
CIUDAD DE MÉXICO;LICENCIATURA EN TECNOLOGÍA DE ALIMENTOS;1;0;1;0;0;0;0;0;0;0;0;0
CIUDAD DE MÉXICO;LICENCIATURA EN TECNOLOGÍAS APLICADAS A LA SEGURIDAD CIUDADANA;7;30;37;0;0;0;0;0;0;0;0;0
CIUDAD DE MÉXICO;LICENCIATURA EN TECNOLOGÍAS DE INFORMACIÓN Y COMUNICACIÓN;266;224;490;240;213;453;0;0;0;0;0;0
CIUDAD DE MÉXICO;LICENCIATURA EN TECNOLOGÍAS DE LA INFORMACIÓN;72;273;345;12;57;69;12;57;69;8;11;19
CIUDAD DE MÉXICO;LICENCIATURA EN TECNOLOGÍAS DE LA INFORMACIÓN EN LOS NEGOCIOS;9;22;31;4;12;16;4;5;9;0;0;0
CIUDAD DE MÉXICO;LICENCIATURA EN TECNOLOGÍAS PARA LA INFORMACIÓN EN CIENCIAS;23;76;99;9;24;33;0;0;0;0;0;0
CIUDAD DE MÉXICO;LICENCIATURA EN TECNOLOGÍAS Y SISTEMAS DE INFORMACIÓN;69;216;285;16;53;69;2;10;12;1;5;6
CIUDAD DE MÉXICO;LICENCIATURA EN TEOLOGÍA;43;262;305;12;81;93;8;37;45;7;29;36
CIUDAD DE MÉXICO;LICENCIATURA EN TERAPIA FÍSICA;149;52;201;60;17;77;35;9;44;41;12;53
CIUDAD DE MÉXICO;LICENCIATURA EN TERAPIA OCUPACIONAL;39;3;42;9;2;11;18;0;18;8;1;9
CIUDAD DE MÉXICO;LICENCIATURA EN TERAPISTA EN COMUNICACIÓN HUMANA;35;2;37;18;2;20;9;0;9;12;1;13
CIUDAD DE MÉXICO;LICENCIATURA EN TRABAJO SOCIAL;3214;983;4197;685;353;1038;540;126;666;498;97;595
CIUDAD DE MÉXICO;LICENCIATURA EN TRADUCCIÓN;141;37;178;56;14;70;6;2;8;0;0;0
CIUDAD DE MÉXICO;LICENCIATURA EN TRADUCCIÓN, LOCALIZACIÓN E INTERPRETACIÓN;101;28;129;43;14;57;3;3;6;5;4;9
CIUDAD DE MÉXICO;LICENCIATURA EN TROMBÓN;1;18;19;0;3;3;0;3;3;0;2;2
CIUDAD DE MÉXICO;LICENCIATURA EN TROMPETA;0;13;13;0;0;0;1;8;9;0;5;5
CIUDAD DE MÉXICO;LICENCIATURA EN TUBA;0;8;8;0;1;1;0;3;3;0;0;0
CIUDAD DE MÉXICO;LICENCIATURA EN TURISMO;3334;1584;4918;1134;619;1753;419;196;615;406;159;565
CIUDAD DE MÉXICO;LICENCIATURA EN URBANISMO;110;123;233;28;25;53;11;16;27;3;5;8
CIUDAD DE MÉXICO;LICENCIATURA EN URBANISMO Y DESARROLLO METROPOLITANO  ;36;46;82;36;46;82;0;0;0;0;0;0
CIUDAD DE MÉXICO;LICENCIATURA EN VENTA Y COMERCIALIZACIÓN;0;0;0;0;0;0;0;1;1;0;0;0
CIUDAD DE MÉXICO;LICENCIATURA EN VENTAS;10;18;28;0;0;0;5;10;15;5;10;15
CIUDAD DE MÉXICO;LICENCIATURA EN VIOLA;5;8;13;1;0;1;1;2;3;1;0;1
CIUDAD DE MÉXICO;LICENCIATURA EN VIOLÍN;23;20;43;1;4;5;3;4;7;1;0;1
CIUDAD DE MÉXICO;LICENCIATURA EN VIOLONCELLO;11;12;23;0;1;1;0;2;2;0;0;0
CIUDAD DE MÉXICO;LICENCIATURA INTERNACIONAL EN ADMINISTRACIÓN DE CENTROS DE CONVENCIONES Y EVENTOS;326;139;465;89;40;129;8;0;8;5;2;7
CIUDAD DE MÉXICO;LICENCIATURA INTERNACIONAL EN ADMINISTRACIÓN DE EMPRESAS DE LA HOSPITALIDAD;61;20;81;0;0;0;0;0;0;0;0;0
CIUDAD DE MÉXICO;LICENCIATURA INTERNACIONAL EN ADMINISTRACIÓN DE EMPRESAS GASTRONÓMICAS;34;36;70;0;0;0;0;0;0;0;0;0
CIUDAD DE MÉXICO;LICENCIATURA INTERNACIONAL EN ADMINISTRACIÓN DE EMPRESAS TURÍSTICAS;118;43;161;0;2;2;3;2;5;2;1;3
CIUDAD DE MÉXICO;LICENCIATURA INTERNACIONAL EN ADMINISTRACIÓN DE HOTELES Y COMPLEJOS TURÍSTICOS;93;40;133;0;0;0;63;25;88;16;10;26
CIUDAD DE MÉXICO;LICENCIATURA INTERNACIONAL EN GASTRONOMÍA;152;140;292;44;35;79;15;20;35;8;18;26
CIUDAD DE MÉXICO;LICENCIATURA INTERNACIONAL EN MERCADOS GLOBALES;0;0;0;0;0;0;1;0;1;1;0;1
CIUDAD DE MÉXICO;LICENCIATURA INTERNACIONAL EN MERCADOTECNIA E INTEGRACIÓN DE MERCADOS;0;0;0;0;0;0;0;0;0;1;0;1
CIUDAD DE MÉXICO;LICENCIATURA QUÍMICO FARMACÉUTICO BIÓLOGO;93;51;144;15;13;28;12;8;20;8;1;9
CIUDAD DE MÉXICO;MEDICINA GENERAL;570;467;1037;116;81;197;75;56;131;60;67;127
CIUDAD DE MÉXICO;MÉDICO CIRUJANO;1436;932;2368;277;180;457;154;126;280;95;78;173
CIUDAD DE MÉXICO;MÉDICO CIRUJANO MILITAR;186;368;554;57;86;143;18;53;71;18;53;71
CIUDAD DE MÉXICO;MÉDICO CIRUJANO NAVAL;215;218;433;72;72;144;13;31;44;14;28;42
CIUDAD DE MÉXICO;MÉDICO CIRUJANO Y HOMEÓPATA;1201;757;1958;138;48;186;126;79;205;142;102;244
CIUDAD DE MÉXICO;MÉDICO CIRUJANO Y PARTERO;3923;2888;6811;439;302;741;452;381;833;652;532;1184
CIUDAD DE MÉXICO;MÉDICO HOMEÓPATA, CIRUJANO Y PARTERO;119;86;205;34;23;57;5;8;13;7;7;14
CIUDAD DE MÉXICO;MÉDICO VETERINARIO ZOOTECNISTA;954;446;1400;210;63;273;74;44;118;74;69;143
CIUDAD DE MÉXICO;PROGRAMA DE ESTUDIOS COMPLEMENTARIOS DE LA COMPETENCIAS DE LA LICENCIATURA EN ENFERMERÍA;0;0;0;0;0;0;0;0;0;1;1;2
CIUDAD DE MÉXICO;QUÍMICO BACTERIÓLOGO Y PARASITÓLOGO;752;573;1325;170;116;286;100;57;157;103;64;167
CIUDAD DE MÉXICO;QUÍMICO FARMACÉUTICO BIÓLOGO;855;596;1451;178;118;296;133;76;209;93;62;155
CIUDAD DE MÉXICO;QUÍMICO FARMACÉUTICO BIOTECNÓLOGO;174;103;277;74;46;120;5;7;12;3;4;7
CIUDAD DE MÉXICO;QUÍMICO FARMACÉUTICO INDUSTRIAL;564;414;978;127;92;219;53;39;92;48;48;96
COAHUILA;TOTAL;53644;53675;107319;15974;14513;30487;9324;8675;17999;6944;6878;13822
COAHUILA;LICENCIATURA EN EDUCACIÓN ESPECIAL EN EL ÁREA DE ATENCIÓN AUDITIVA Y DE LENGUAJE;8;1;9;0;0;0;10;0;10;10;0;10
COAHUILA;LICENCIATURA EN EDUCACIÓN ESPECIAL EN EL ÁREA DE ATENCIÓN INTELECTUAL;91;12;103;20;5;25;21;0;21;21;0;21
COAHUILA;LICENCIATURA EN EDUCACIÓN ESPECIAL EN EL ÁREA DE ATENCIÓN MOTRIZ;10;0;10;0;0;0;0;0;0;0;0;0
COAHUILA;LICENCIATURA EN EDUCACIÓN FÍSICA;29;49;78;6;22;28;7;13;20;7;13;20
COAHUILA;LICENCIATURA EN EDUCACIÓN PREESCOLAR;597;8;605;270;7;277;61;1;62;61;1;62
COAHUILA;LICENCIATURA EN EDUCACIÓN PRIMARIA;698;164;862;361;83;444;71;15;86;71;15;86
COAHUILA;LICENCIATURA EN EDUCACIÓN SECUNDARIA CON ESPECIALIDAD EN ESPAÑOL;48;17;65;18;11;29;9;2;11;8;2;10
COAHUILA;LICENCIATURA EN EDUCACIÓN SECUNDARIA CON ESPECIALIDAD EN LENGUA EXTRANJERA (INGLÉS);164;35;199;14;3;17;5;2;7;5;2;7
COAHUILA;LICENCIATURA EN EDUCACIÓN SECUNDARIA CON ESPECIALIDAD EN MATEMÁTICAS;12;4;16;12;4;16;9;4;13;8;3;11
COAHUILA;LICENCIATURA EN INCLUSIÓN EDUCATIVA;56;2;58;34;1;35;0;0;0;0;0;0
COAHUILA;ARQUITECTO;522;492;1014;102;87;189;61;62;123;54;67;121
COAHUILA;ARQUITECTURA;64;91;155;31;52;83;4;14;18;0;0;0
COAHUILA;BIÓLOGO EN RECURSOS NATURALES;3;1;4;0;0;0;1;3;4;0;0;0
COAHUILA;CIRUJANO DENTISTA;621;223;844;117;29;146;73;36;109;69;40;109
COAHUILA;CONTABILIDAD Y FINANZAS;24;12;36;12;7;19;0;1;1;5;3;8
COAHUILA;CONTADOR PÚBLICO;902;459;1361;205;131;336;190;63;253;195;78;273
COAHUILA;CONTADOR PÚBLICO AUDITOR;16;4;20;0;0;0;12;8;20;12;7;19
COAHUILA;CONTADOR PÚBLICO Y AUDITOR;108;41;149;39;14;53;8;2;10;26;11;37
COAHUILA;CONTADURÍA PÚBLICA;105;36;141;48;16;64;32;13;45;10;1;11
COAHUILA;GEÓLOGO;49;58;107;15;13;28;11;15;26;5;3;8
COAHUILA;INGENIERÍA AGRÍCOLA Y AMBIENTAL;49;76;125;17;15;32;18;20;38;0;6;6
COAHUILA;INGENIERÍA AGROINDUSTRIAL;50;69;119;30;42;72;0;0;0;0;0;0
COAHUILA;INGENIERÍA AGRÓNOMO;138;342;480;40;97;137;14;64;78;16;47;63
COAHUILA;INGENIERÍA AGRÓNOMO ADMINISTRADOR;62;64;126;15;16;31;15;12;27;7;6;13
COAHUILA;INGENIERÍA AGRÓNOMO EN DESARROLLO RURAL;35;54;89;15;18;33;4;11;15;5;4;9
COAHUILA;INGENIERÍA AGRÓNOMO EN HORTICULTURA;170;473;643;47;116;163;31;79;110;19;45;64
COAHUILA;INGENIERÍA AGRÓNOMO EN IRRIGACIÓN;40;178;218;16;46;62;2;36;38;1;16;17
COAHUILA;INGENIERÍA AGRÓNOMO EN PRODUCCIÓN;104;322;426;17;78;95;17;49;66;11;22;33
COAHUILA;INGENIERÍA AGRÓNOMO PARASITÓLOGO;114;295;409;22;80;102;13;34;47;8;19;27
COAHUILA;INGENIERÍA AGRÓNOMO ZOOTECNISTA;166;302;468;54;73;127;22;50;72;15;32;47
COAHUILA;INGENIERÍA AMBIENTAL;74;63;137;11;11;22;53;68;121;37;48;85
COAHUILA;INGENIERÍA BIOMÉDICO;58;73;131;31;43;74;0;0;0;0;0;0
COAHUILA;INGENIERÍA BIOQUÍMICA EN ALIMENTOS ESPECIALIDAD EN FERMENTACIONES;438;253;691;90;41;131;52;36;88;67;35;102
COAHUILA;INGENIERÍA CIVIL;183;632;815;29;98;127;25;87;112;21;116;137
COAHUILA;INGENIERÍA ELÉCTRICA;13;206;219;3;36;39;0;24;24;0;20;20
COAHUILA;INGENIERÍA ELECTROMECÁNICA;5;12;17;0;8;8;0;7;7;0;7;7
COAHUILA;INGENIERÍA ELECTRÓNICA;58;590;648;12;130;142;21;115;136;8;75;83
COAHUILA;INGENIERÍA ELECTRÓNICA Y DE COMUNICACIONES;16;65;81;6;25;31;3;8;11;3;4;7
COAHUILA;INGENIERÍA EN ADMINISTRACIÓN;366;193;559;102;53;155;74;22;96;49;19;68
COAHUILA;INGENIERÍA EN ADMINISTRACIÓN DE DESARROLLO SUSTENTABLE;0;2;2;0;2;2;0;0;0;0;0;0
COAHUILA;INGENIERÍA EN ADMINISTRACIÓN DE TECNOLOGÍAS DE LA INFORMACIÓN ;1;2;3;1;2;3;0;0;0;0;0;0
COAHUILA;INGENIERÍA EN AGRICULTURA SUSTENTABLE Y PROTEGIDA;0;5;5;0;0;0;1;0;1;1;0;1
COAHUILA;INGENIERÍA EN AGROBIOLOGÍA;55;57;112;15;18;33;8;10;18;5;9;14
COAHUILA;INGENIERÍA EN AGROECOLOGÍA;28;45;73;13;18;31;2;4;6;1;2;3
COAHUILA;INGENIERÍA EN AGRONOMÍA;12;27;39;4;10;14;2;0;2;0;0;0
COAHUILA;INGENIERÍA EN AUDIO Y PRODUCCIÓN MUSICAL;0;34;34;0;13;13;1;6;7;0;2;2
COAHUILA;INGENIERÍA EN BIOTECNOLOGÍA;23;13;36;0;0;0;20;7;27;20;7;27
COAHUILA;INGENIERÍA EN CIENCIA Y TECNOLOGÍA DE ALIMENTOS;147;84;231;36;30;66;27;11;38;12;8;20
COAHUILA;INGENIERÍA EN CONFIABILIDAD DE PLANTA;7;49;56;0;0;0;4;36;40;4;36;40
COAHUILA;INGENIERÍA EN DESARROLLO DE SOFTWARE;9;12;21;9;12;21;0;0;0;0;0;0
COAHUILA;INGENIERÍA EN DESARROLLO E INNOVACIÓN EMPRESARIAL;433;144;577;0;0;0;206;61;267;187;59;246
COAHUILA;INGENIERÍA EN DESARROLLO Y DISEÑO DE SOFTWARE;9;26;35;4;12;16;0;0;0;0;0;0
COAHUILA;INGENIERÍA EN ELÉCTRICA;0;0;0;0;0;0;0;0;0;0;4;4
COAHUILA;INGENIERÍA EN ELECTROMECÁNICA;15;258;273;8;74;82;0;44;44;0;69;69
COAHUILA;INGENIERÍA EN ELECTRÓNICA;0;0;0;0;0;0;0;0;0;0;4;4
COAHUILA;INGENIERÍA EN ELECTRÓNICA INDUSTRIAL;24;127;151;4;51;55;3;23;26;8;37;45
COAHUILA;INGENIERÍA EN ENERGÍA;59;116;175;15;37;52;18;6;24;0;5;5
