ENTIDAD FEDERATIVA;PROGRAMA DE ESTUDIOS;Lugares Ofertados;Matrícula Hombres;Matrícula Mujeres;Matrícula Total;Primer Ingreso Mujeres;Egresados Hombres;Egresados Mujeres;Egresados Total;Graduados Hombres;Graduados Mujeres;Graduados Total
COLIMA;ESPECIALIDAD EN DERECHO PENAL;60;4;7;11;0;4;15;19;0;0;0
COLIMA;ESPECIALIDAD EN DERECHO PROCESAL CIVIL;0;7;6;13;6;12;15;27;0;0;0
COLIMA;ESPECIALIDAD EN DIRECCIÓN DE ORGANIZACIONES TURÍSTICAS;25;7;11;18;11;6;7;13;0;0;0
COLIMA;ESPECIALIDAD EN ESTUDIOS DE GENERO EN EDUCACIÓN;0;0;0;0;0;0;0;0;0;0;0
COLIMA;ESPECIALIDAD EN GINECOLOGÍA Y OBSTETRICIA;0;6;10;16;0;1;2;3;0;0;0
COLIMA;ESPECIALIDAD EN MEDICINA FAMILIAR;0;25;28;53;0;12;9;21;5;7;12
COLIMA;ESPECIALIDAD EN MEDICINA INTEGRADA;10;5;6;11;4;0;0;0;0;0;0
COLIMA;ESPECIALIDAD EN MEDICINA INTERNA;0;6;6;12;0;0;0;0;0;0;0
COLIMA;ESPECIALIDAD EN OCEANOGRAFÍA FÍSICA;1;3;0;3;0;3;0;3;0;0;0
COLIMA;ESPECIALIDAD EN PEDIATRÍA;0;2;6;8;0;0;0;0;2;1;3
COLIMA;ESPECIALIDAD EN TRAUMATOLOGÍA Y ORTOPEDIA;10;15;1;16;0;0;0;0;0;0;0
COLIMA;MAESTRÍA EN ADMINISTRACIÓN;0;0;0;0;0;23;18;41;18;1;19
COLIMA;MAESTRÍA EN ADMINISTRACIÓN PORTUARIA;25;10;10;20;10;0;0;0;0;0;0
COLIMA;MAESTRÍA EN AGRONEGOCIOS;0;0;0;0;0;1;0;1;0;0;0
COLIMA;MAESTRÍA EN ALTA DIRECCIÓN;15;15;11;26;4;5;3;8;2;2;4
COLIMA;MAESTRÍA EN ARQUITECTURA;20;8;6;14;6;5;11;16;0;0;0
COLIMA;MAESTRÍA EN ARQUITECTURA BIOCLIMÁTICA;20;32;13;45;6;0;0;0;0;0;0
COLIMA;MAESTRÍA EN CIENCIAS ADMINISTRATIVAS;77;33;28;61;28;0;0;0;0;0;0
COLIMA;MAESTRÍA EN CIENCIAS DE LA TIERRA;0;1;2;3;0;2;0;2;0;0;0
COLIMA;MAESTRÍA EN CIENCIAS DEL MAR;10;2;8;10;3;1;2;3;0;1;1
COLIMA;MAESTRÍA EN CIENCIAS EN INGENIERÍA INDUSTRIAL;0;0;0;0;0;0;0;0;0;0;0
COLIMA;MAESTRÍA EN CIENCIAS FISIOLÓGICAS;0;8;5;13;3;0;1;1;3;2;5
COLIMA;MAESTRÍA EN CIENCIAS MÉDICAS;0;5;16;21;0;4;6;10;0;0;0
COLIMA;MAESTRÍA EN CIENCIAS POLÍTICAS Y ADMINISTRACIÓN PÚBLICA;0;9;2;11;0;0;0;0;1;0;1
COLIMA;MAESTRÍA EN CIENCIAS QUÍMICAS;0;0;0;0;0;1;0;1;0;0;0
COLIMA;MAESTRÍA EN COMPETITIVIDAD TURÍSTICA;0;4;6;10;0;3;9;12;0;0;0
COLIMA;MAESTRÍA EN COMPUTACIÓN;12;10;5;15;4;6;0;6;0;1;1
COLIMA;MAESTRÍA EN DERECHO CONSTITUCIONAL Y AMPARO;25;3;2;5;2;3;2;5;6;3;9
COLIMA;MAESTRÍA EN DERECHO CORPORATIVO;60;11;5;16;3;0;0;0;0;0;0
COLIMA;MAESTRÍA EN DERECHO DE AMPARO;60;31;25;56;12;9;2;11;0;0;0
COLIMA;MAESTRÍA EN DERECHO FISCAL Y CORPORATIVO;10;0;0;0;0;8;9;17;8;9;17
COLIMA;MAESTRÍA EN DESARROLLO EDUCATIVO;0;0;0;0;0;0;0;0;0;0;0
COLIMA;MAESTRÍA EN DESARROLLO ORGANIZACIONAL Y HUMANO;15;11;20;31;8;1;9;10;1;9;10
COLIMA;MAESTRÍA EN DESARROLLO URBANO;10;10;2;12;0;0;0;0;0;0;0
COLIMA;MAESTRÍA EN EDUCACIÓN;25;18;4;22;4;8;37;45;3;17;20
COLIMA;MAESTRÍA EN EDUCACIÓN BÁSICA;42;13;53;66;35;0;0;0;0;0;0
COLIMA;MAESTRÍA EN EDUCACIÓN MEDIA SUPERIOR;0;0;0;0;0;5;6;11;0;0;0
COLIMA;MAESTRÍA EN FINANZAS;0;0;0;0;0;2;6;8;0;0;0
COLIMA;MAESTRÍA EN GESTIÓN EDUCATIVA;0;3;11;14;0;5;12;17;0;0;0
COLIMA;MAESTRÍA EN INGENIERÍA;15;25;6;31;2;9;3;12;0;0;0
COLIMA;MAESTRÍA EN JUICIO DE AMPARO;20;9;11;20;11;4;7;11;4;7;11
COLIMA;MAESTRÍA EN LITERATURA HISPANOAMERICANA;0;5;4;9;0;0;0;0;0;0;0
COLIMA;MAESTRÍA EN PEDAGOGÍA;20;11;5;16;5;5;9;14;0;0;0
COLIMA;MAESTRÍA EN PROCESOS DE CALIDAD EDUCATIVA;25;11;11;22;11;0;0;0;0;0;0
COLIMA;MAESTRÍA EN PRODUCCIÓN PECUARIA;5;1;1;2;1;0;0;0;0;0;0
COLIMA;MAESTRÍA EN PSICOLOGÍA APLICADA;0;4;16;20;0;0;0;0;0;2;2
COLIMA;MAESTRÍA EN TECNOLOGÍAS DE LA INFORMACIÓN;18;11;2;13;2;9;2;11;0;0;0
COLIMA;MAESTRÍA EN TRABAJO SOCIAL;0;0;0;0;0;1;3;4;0;0;0
COLIMA;MAESTRÍA EN VALUACIÓN;0;0;0;0;0;3;3;6;3;3;6
DISTRITO FEDERAL;TOTAL;22930;32671;33388;66059;12358;5968;6281;12249;3492;3392;6884
DISTRITO FEDERAL;DOCTORADO EN ADMINISTRACIÓN;10;2;1;3;0;0;0;0;0;0;0
DISTRITO FEDERAL;DOCTORADO EN ADMINISTRACIÓN DE EMPRESAS;6;19;5;24;0;0;0;0;1;0;1
DISTRITO FEDERAL;DOCTORADO EN ADMINISTRACIÓN PÚBLICA;30;79;57;136;5;10;6;16;4;2;6
DISTRITO FEDERAL;DOCTORADO EN ANTROPOLOGÍA;17;57;83;140;20;8;14;22;3;1;4
DISTRITO FEDERAL;DOCTORADO EN ANTROPOLOGÍA SOCIAL;3;10;8;18;1;3;1;4;3;3;6
DISTRITO FEDERAL;DOCTORADO EN ARQUITECTURA;0;21;9;30;5;0;0;0;0;0;0
DISTRITO FEDERAL;DOCTORADO EN ARTE Y DISEÑO;0;44;17;61;17;0;0;0;0;0;0
DISTRITO FEDERAL;DOCTORADO EN BIBLIOTECOLOGÍA Y ESTUDIOS DE LA INFORMACIÓN;0;18;16;34;2;0;0;0;0;0;0
DISTRITO FEDERAL;DOCTORADO EN BIOLOGÍA EXPERIMENTAL;12;22;32;54;9;1;3;4;0;2;2
DISTRITO FEDERAL;DOCTORADO EN BIOMEDICINA MOLECULAR;0;4;7;11;0;0;1;1;0;1;1
DISTRITO FEDERAL;DOCTORADO EN BIOTECNOLOGÍA;22;44;61;105;13;9;7;16;4;4;8
DISTRITO FEDERAL;DOCTORADO EN CIENCIA E INGENIERÍA DE LA COMPUTACIÓN;0;32;13;45;3;0;0;0;0;0;0
DISTRITO FEDERAL;DOCTORADO EN CIENCIA EN BIOQUÍMICA;0;9;8;17;2;0;0;0;0;1;1
DISTRITO FEDERAL;DOCTORADO EN CIENCIAS (ASTRONOMÍA);0;29;16;45;1;0;0;0;0;0;0
DISTRITO FEDERAL;DOCTORADO EN CIENCIAS (FÍSICA);0;53;8;61;0;0;0;0;0;0;0
DISTRITO FEDERAL;DOCTORADO EN CIENCIAS ADMINISTRATIVAS;13;9;9;18;3;1;1;2;1;1;2
DISTRITO FEDERAL;DOCTORADO EN CIENCIAS ANTROPOLÓGICAS;11;27;48;75;5;8;6;14;0;1;1
DISTRITO FEDERAL;DOCTORADO EN CIENCIAS BIOLÓGICAS;30;232;269;501;64;7;12;19;2;5;7
DISTRITO FEDERAL;DOCTORADO EN CIENCIAS BIOMÉDICAS;0;271;339;610;55;0;0;0;0;0;0
DISTRITO FEDERAL;DOCTORADO EN CIENCIAS BIOMEDICINA MOLECULAR;0;25;25;50;6;0;0;0;4;6;10
DISTRITO FEDERAL;DOCTORADO EN CIENCIAS BIOQUÍMICAS;0;105;118;223;33;0;0;0;0;0;0
DISTRITO FEDERAL;DOCTORADO EN CIENCIAS COMPUTACIONALES;5;7;1;8;0;0;0;0;0;0;0
DISTRITO FEDERAL;DOCTORADO EN CIENCIAS CON ESPECIALIDAD EN ALIMENTOS;60;11;38;49;2;8;9;17;8;9;17
DISTRITO FEDERAL;DOCTORADO EN CIENCIAS CON ESPECIALIDAD EN BIOMEDICINA Y BIOTECNOLOGÍA MOLECULAR;50;16;30;46;5;13;7;20;13;7;20
DISTRITO FEDERAL;DOCTORADO EN CIENCIAS CON ESPECIALIDAD EN CIENCIAS ADMINISTRATIVAS;13;22;15;37;3;10;9;19;3;1;4
DISTRITO FEDERAL;DOCTORADO EN CIENCIAS CON ESPECIALIDAD EN FÍSICA;0;10;0;10;0;2;0;2;2;0;2
DISTRITO FEDERAL;DOCTORADO EN CIENCIAS CON ESPECIALIDAD EN INMUNOLOGÍA;42;17;14;31;4;5;5;10;5;5;10
DISTRITO FEDERAL;DOCTORADO EN CIENCIAS DE BIOPROCESOS;28;4;8;12;1;2;1;3;2;1;3
DISTRITO FEDERAL;DOCTORADO EN CIENCIAS DE LA ADMINISTRACIÓN;0;122;51;173;26;0;0;0;0;0;0
DISTRITO FEDERAL;DOCTORADO EN CIENCIAS DE LA COMPUTACIÓN;15;35;11;46;3;6;1;7;9;2;11
DISTRITO FEDERAL;DOCTORADO EN CIENCIAS DE LA ESPECIALIDAD EN FISIOLOGÍA CELULAR;0;10;8;18;2;0;0;0;0;3;3
DISTRITO FEDERAL;DOCTORADO EN CIENCIAS DE LA INGENIERÍA;1;1;0;1;0;0;0;0;0;0;0
DISTRITO FEDERAL;DOCTORADO EN CIENCIAS DE LA PRODUCCIÓN Y DE LA SALUD ANIMAL;0;29;40;69;11;0;0;0;0;0;0
DISTRITO FEDERAL;DOCTORADO EN CIENCIAS DE LA SALUD;0;20;42;62;16;0;0;0;0;0;0
DISTRITO FEDERAL;DOCTORADO EN CIENCIAS DE LO FISCAL;20;5;3;8;0;0;0;0;5;1;6
DISTRITO FEDERAL;DOCTORADO EN CIENCIAS DEL LENGUAJE;0;3;2;5;0;1;3;4;0;0;0
DISTRITO FEDERAL;DOCTORADO EN CIENCIAS DEL MAR Y LIMNOLOGÍA;0;31;31;62;5;0;0;0;0;0;0
DISTRITO FEDERAL;DOCTORADO EN CIENCIAS E INGENIERÍA;7;18;17;35;4;3;1;4;3;0;3
DISTRITO FEDERAL;DOCTORADO EN CIENCIAS E INGENIERÍA DE MATERIALES;0;70;39;109;18;0;0;0;0;0;0
DISTRITO FEDERAL;DOCTORADO EN CIENCIAS ECONÓMICAS;20;69;33;102;5;9;4;13;2;1;3
DISTRITO FEDERAL;DOCTORADO EN CIENCIAS EN BIOLOGÍA CELULAR;0;33;20;53;1;0;0;0;2;1;3
DISTRITO FEDERAL;DOCTORADO EN CIENCIAS EN BIOTECNOLOGÍA;40;57;73;130;12;0;0;0;2;2;4
DISTRITO FEDERAL;DOCTORADO EN CIENCIAS EN CIENCIAS DE LA TIERRA;0;49;55;104;14;0;0;0;0;0;0
DISTRITO FEDERAL;DOCTORADO EN CIENCIAS EN CIENCIAS QUÍMICAS;0;28;10;38;1;0;0;0;7;1;8
DISTRITO FEDERAL;DOCTORADO EN CIENCIAS EN COMPUTACIÓN;0;10;8;18;1;0;0;0;2;1;3
DISTRITO FEDERAL;DOCTORADO EN CIENCIAS EN CONTROL AUTOMÁTICO;0;37;6;43;2;0;0;0;11;1;12
DISTRITO FEDERAL;DOCTORADO EN CIENCIAS EN DESARROLLO CIENTÍFICO Y TECNOLÓGICO PARA LA SOCIEDAD;0;18;20;38;8;0;0;0;0;0;0
DISTRITO FEDERAL;DOCTORADO EN CIENCIAS EN DESARROLLO RURAL;17;22;25;47;6;5;3;8;3;1;4
DISTRITO FEDERAL;DOCTORADO EN CIENCIAS EN FARMACOLOGÍA;0;22;23;45;2;0;0;0;2;4;6
DISTRITO FEDERAL;DOCTORADO EN CIENCIAS EN FÍSICA;0;52;16;68;0;0;0;0;7;1;8
DISTRITO FEDERAL;DOCTORADO EN CIENCIAS EN FÍSICA EDUCATIVA;8;8;9;17;1;3;1;4;2;0;2
DISTRITO FEDERAL;DOCTORADO EN CIENCIAS EN GENÉTICA Y BIOLOGÍA MOLECULAR;0;26;33;59;9;0;0;0;0;0;0
DISTRITO FEDERAL;DOCTORADO EN CIENCIAS EN INFECTÓMICA Y PATOGÉNESIS MOLECULAR;0;26;19;45;6;0;0;0;2;1;3
DISTRITO FEDERAL;DOCTORADO EN CIENCIAS EN INGENIERÍA ELÉCTRICA;0;38;11;49;0;0;0;0;9;1;10
DISTRITO FEDERAL;DOCTORADO EN CIENCIAS EN INGENIERÍA QUÍMICA;5;5;5;10;0;0;0;0;1;0;1
DISTRITO FEDERAL;DOCTORADO EN CIENCIAS EN INVESTIGACIONES EDUCATIVAS;0;12;23;35;1;0;0;0;1;5;6
DISTRITO FEDERAL;DOCTORADO EN CIENCIAS EN LA ESPECIALIDAD DE NEUROBIOLOGÍA CELULAR;0;21;14;35;2;0;0;0;0;1;1
DISTRITO FEDERAL;DOCTORADO EN CIENCIAS EN MATEMÁTICA EDUCATIVA;0;33;45;78;5;0;0;0;1;3;4
DISTRITO FEDERAL;DOCTORADO EN CIENCIAS EN MATEMÁTICAS;0;30;9;39;2;0;0;0;3;3;6
DISTRITO FEDERAL;DOCTORADO EN CIENCIAS EN NANOCIENCIAS Y NANOTECNOLOGÍA;0;10;7;17;0;0;0;0;0;0;0
DISTRITO FEDERAL;DOCTORADO EN CIENCIAS EN NEUROFARMACOLOGÍA Y TERAPÉUTICA EXPERIMENTAL;0;16;31;47;10;0;0;0;5;8;13
DISTRITO FEDERAL;DOCTORADO EN CIENCIAS EN QUÍMICO BIOLÓGICAS;60;43;72;115;6;14;22;36;14;22;36
DISTRITO FEDERAL;DOCTORADO EN CIENCIAS EN SALUD COLECTIVA;0;9;19;28;0;2;2;4;0;1;1
DISTRITO FEDERAL;DOCTORADO EN CIENCIAS EN TOXICOLOGÍA;0;6;16;22;4;0;0;0;1;2;3
DISTRITO FEDERAL;DOCTORADO EN CIENCIAS FINANCIERAS;7;12;5;17;1;1;1;2;1;1;2
DISTRITO FEDERAL;DOCTORADO EN CIENCIAS FISICOMATEMÁTICAS;10;12;3;15;1;0;0;0;0;0;0
DISTRITO FEDERAL;DOCTORADO EN CIENCIAS GENÓMICAS;4;13;14;27;1;2;1;3;2;2;4
DISTRITO FEDERAL;DOCTORADO EN CIENCIAS HUMANAS;7;5;3;8;0;4;2;6;2;0;2
DISTRITO FEDERAL;DOCTORADO EN CIENCIAS MATEMÁTICAS;0;116;32;148;9;0;0;0;0;0;0
DISTRITO FEDERAL;DOCTORADO EN CIENCIAS MÉDICAS;0;40;23;63;18;0;0;0;0;0;0
DISTRITO FEDERAL;DOCTORADO EN CIENCIAS ODONTOLÓGICAS;0;9;13;22;6;0;0;0;0;0;0
DISTRITO FEDERAL;DOCTORADO EN CIENCIAS PARA LA FAMILIA;29;12;38;50;38;7;15;22;0;0;0
DISTRITO FEDERAL;DOCTORADO EN CIENCIAS PENALES;17;27;7;34;4;9;3;12;9;3;12
DISTRITO FEDERAL;DOCTORADO EN CIENCIAS PENALES Y POLÍTICA CRIMINAL;5;32;11;43;0;5;0;5;2;1;3
DISTRITO FEDERAL;DOCTORADO EN CIENCIAS POLÍTICAS Y SOCIALES;0;78;104;182;42;0;0;0;0;0;0
DISTRITO FEDERAL;DOCTORADO EN CIENCIAS QUÍMICAS;0;103;78;181;26;0;0;0;0;0;0
DISTRITO FEDERAL;DOCTORADO EN CIENCIAS SOCIALES;49;71;83;154;28;20;19;39;5;6;11
DISTRITO FEDERAL;DOCTORADO EN CIENCIAS SOCIALES CON ESPECIALIDAD EN SOCIOLOGÍA;0;16;16;32;0;8;7;15;4;3;7
DISTRITO FEDERAL;DOCTORADO EN CIENCIAS SOCIALES Y ADMINISTRATIVAS;9;15;6;21;3;8;1;9;11;1;12
DISTRITO FEDERAL;DOCTORADO EN CIENCIAS SOCIALES Y HUMANIDADES;21;6;6;12;6;0;0;0;0;0;0
DISTRITO FEDERAL;DOCTORADO EN CIENCIAS SOCIALES Y POLÍTICAS;0;13;7;20;0;4;3;7;4;2;6
DISTRITO FEDERAL;DOCTORADO EN CIENCIAS Y ARTES PARA EL DISEÑO;8;20;23;43;7;1;2;3;0;0;0
DISTRITO FEDERAL;DOCTORADO EN CIENCIAS Y TECNOLOGÍAS DE LA INFORMACIÓN;3;3;0;3;0;0;0;0;0;0;0
DISTRITO FEDERAL;DOCTORADO EN CLÍNICA PSICOANALÍTICA;0;5;20;25;0;0;0;0;0;4;4
DISTRITO FEDERAL;DOCTORADO EN COMUNICACIÓN Y PENSAMIENTO ESTRATÉGICO;10;5;2;7;2;0;0;0;0;0;0
DISTRITO FEDERAL;DOCTORADO EN COMUNICACIONES Y ELECTRÓNICA;5;37;12;49;2;0;0;0;8;2;10
DISTRITO FEDERAL;DOCTORADO EN CREACIÓN LITERARIA ÁREA NOVELA;15;6;6;12;1;0;1;1;0;0;0
DISTRITO FEDERAL;DOCTORADO EN DEFENSA Y SEGURIDAD NACIONAL;0;2;2;4;2;0;0;0;0;0;0
DISTRITO FEDERAL;DOCTORADO EN DERECHO;207;281;140;421;68;33;10;43;16;11;27
DISTRITO FEDERAL;DOCTORADO EN DERECHO LABORAL;25;10;2;12;2;2;2;4;3;0;3
DISTRITO FEDERAL;DOCTORADO EN DERECHO PENAL;0;167;51;218;48;168;75;243;0;0;0
DISTRITO FEDERAL;DOCTORADO EN DISEÑO;2;28;20;48;1;1;4;5;0;2;2
DISTRITO FEDERAL;DOCTORADO EN ECONOMÍA;5;111;76;187;36;5;0;5;2;0;2
DISTRITO FEDERAL;DOCTORADO EN EDUCACIÓN;73;72;94;166;19;23;21;44;0;3;3
DISTRITO FEDERAL;DOCTORADO EN ESTUDIOS DE ASIA Y ÁFRICA;0;4;3;7;0;0;0;0;0;0;0
DISTRITO FEDERAL;DOCTORADO EN ESTUDIOS DE POBLACIÓN;0;6;16;22;0;0;0;0;5;2;7
DISTRITO FEDERAL;DOCTORADO EN ESTUDIOS HUMANÍSTICOS;9;13;10;23;1;3;2;5;3;2;5
DISTRITO FEDERAL;DOCTORADO EN ESTUDIOS LATINOAMERICANOS;0;53;64;117;13;0;0;0;0;0;0
DISTRITO FEDERAL;DOCTORADO EN ESTUDIOS MESOAMERICANOS;0;16;25;41;8;0;0;0;0;0;0
DISTRITO FEDERAL;DOCTORADO EN ESTUDIOS ORGANIZACIONALES;15;53;29;82;6;4;4;8;2;0;2
DISTRITO FEDERAL;DOCTORADO EN ESTUDIOS SOCIALES;2;29;24;53;1;7;4;11;0;3;3
DISTRITO FEDERAL;DOCTORADO EN ESTUDIOS TRANSDISCIPLINARIOS DE LA CULTURA Y LA COMUNICACIÓN;0;2;3;5;0;1;1;2;0;0;0
DISTRITO FEDERAL;DOCTORADO EN ESTUDIOS URBANOS Y AMBIENTALES;12;10;13;23;5;0;0;0;1;0;1
DISTRITO FEDERAL;DOCTORADO EN FILOSOFÍA;4;110;67;177;15;4;2;6;6;2;8
DISTRITO FEDERAL;DOCTORADO EN FILOSOFÍA DE LA CIENCIA;0;39;32;71;12;0;0;0;0;0;0
DISTRITO FEDERAL;DOCTORADO EN FILOSOFÍA DEL DERECHO;22;10;2;12;1;6;1;7;0;0;0
DISTRITO FEDERAL;DOCTORADO EN FILOSOFÍA GESTALT;30;9;17;26;0;2;6;8;1;2;3
DISTRITO FEDERAL;DOCTORADO EN FÍSICA;1;18;3;21;0;12;0;12;3;0;3
DISTRITO FEDERAL;DOCTORADO EN FÍSICA DE LOS MATERIALES;10;12;7;19;1;3;1;4;1;0;1
DISTRITO FEDERAL;DOCTORADO EN GEOGRAFÍA;0;62;44;106;13;0;0;0;0;0;0
DISTRITO FEDERAL;DOCTORADO EN HISTORIA;35;80;101;181;39;1;2;3;2;4;6
DISTRITO FEDERAL;DOCTORADO EN HISTORIA DEL ARTE;35;27;74;101;12;2;1;3;2;0;2
DISTRITO FEDERAL;DOCTORADO EN HISTORIA DEL PENSAMIENTO;0;9;8;17;5;0;0;0;2;0;2
DISTRITO FEDERAL;DOCTORADO EN HISTORIA MODERNA Y CONTEMPORÁNEA;0;5;1;6;0;6;5;11;6;5;11
DISTRITO FEDERAL;DOCTORADO EN HISTORIOGRAFÍA;8;8;6;14;3;0;0;0;0;0;0
DISTRITO FEDERAL;DOCTORADO EN HUMANIDADES;38;77;60;137;14;5;7;12;3;2;5
DISTRITO FEDERAL;DOCTORADO EN INGENIERÍA;0;27;14;41;0;0;0;0;0;0;0
DISTRITO FEDERAL;DOCTORADO EN INGENIERÍA (ENERGÍA);0;47;25;72;5;0;0;0;0;0;0
DISTRITO FEDERAL;DOCTORADO EN INGENIERÍA AMBIENTAL;0;14;21;35;5;0;0;0;0;0;0
DISTRITO FEDERAL;DOCTORADO EN INGENIERÍA BIOMÉDICA;3;12;5;17;1;3;0;3;3;0;3
DISTRITO FEDERAL;DOCTORADO EN INGENIERÍA CIVIL;0;57;11;68;4;0;0;0;0;0;0
DISTRITO FEDERAL;DOCTORADO EN INGENIERÍA DE SISTEMAS;0;24;13;37;2;0;0;0;6;1;7
DISTRITO FEDERAL;DOCTORADO EN INGENIERÍA ELÉCTRICA;0;52;15;67;4;0;0;0;0;0;0
DISTRITO FEDERAL;DOCTORADO EN INGENIERÍA EN SISTEMAS;0;6;6;12;1;0;0;0;0;0;0
DISTRITO FEDERAL;DOCTORADO EN INGENIERÍA ESTRUCTURAL;0;7;0;7;0;2;0;2;1;0;1
DISTRITO FEDERAL;DOCTORADO EN INGENIERÍA INDUSTRIAL;5;11;0;11;0;0;0;0;1;0;1
DISTRITO FEDERAL;DOCTORADO EN INGENIERÍA MECÁNICA;0;96;15;111;5;0;0;0;7;0;7
DISTRITO FEDERAL;DOCTORADO EN INGENIERÍA PETROLERA Y GAS NATURAL;0;1;0;1;0;0;0;0;0;0;0
DISTRITO FEDERAL;DOCTORADO EN INGENIERÍA QUÍMICA;12;32;9;41;6;5;3;8;2;0;2
DISTRITO FEDERAL;DOCTORADO EN INNOVACIÓN Y ADMINISTRACIÓN EDUCATIVA;20;4;2;6;2;0;0;0;0;0;0
DISTRITO FEDERAL;DOCTORADO EN INVESTIGACIÓN EN CIENCIAS SOCIALES CON MENCIÓN EN CIENCIA POLÍTICA O SOCIOLOGÍA;0;13;12;25;0;13;13;26;4;0;4
DISTRITO FEDERAL;DOCTORADO EN INVESTIGACIÓN EN MEDICINA;0;33;41;74;0;8;8;16;3;3;6
DISTRITO FEDERAL;DOCTORADO EN INVESTIGACIÓN PSICOANALÍTICA;5;7;18;25;3;0;0;0;0;1;1
DISTRITO FEDERAL;DOCTORADO EN INVESTIGACIÓN PSICOLÓGICA;8;8;7;15;4;1;2;3;3;3;6
DISTRITO FEDERAL;DOCTORADO EN LETRAS;0;39;39;78;11;0;0;0;0;0;0
DISTRITO FEDERAL;DOCTORADO EN LETRAS MODERNAS;2;2;11;13;2;0;3;3;0;0;0
DISTRITO FEDERAL;DOCTORADO EN LINGÜÍSTICA;9;18;33;51;13;0;0;0;1;2;3
DISTRITO FEDERAL;DOCTORADO EN LITERATURA HISPÁNICA;14;15;13;28;3;0;0;0;1;0;1
DISTRITO FEDERAL;DOCTORADO EN MATEMÁTICA EDUCATIVA;0;3;9;12;0;1;4;5;3;2;5
DISTRITO FEDERAL;DOCTORADO EN MATEMÁTICAS;8;26;9;35;2;4;1;5;4;1;5
DISTRITO FEDERAL;DOCTORADO EN MEDIO AMBIENTE Y DESARROLLO;6;10;4;14;1;0;0;0;0;0;0
DISTRITO FEDERAL;DOCTORADO EN METALURGIA Y CIENCIAS DE LOS MATERIALES;10;21;15;36;1;6;5;11;11;1;12
DISTRITO FEDERAL;DOCTORADO EN MÚSICA;0;9;11;20;8;0;0;0;0;0;0
DISTRITO FEDERAL;DOCTORADO EN PEDAGOGÍA;0;25;89;114;21;0;0;0;0;0;0
DISTRITO FEDERAL;DOCTORADO EN PENSAMIENTO Y CULTURA EN AMÉRICA LATINA;1;3;1;4;0;0;1;1;1;0;1
DISTRITO FEDERAL;DOCTORADO EN POLÍTICA PÚBLICA;11;33;19;52;4;1;0;1;0;0;0
DISTRITO FEDERAL;DOCTORADO EN PSICOANÁLISIS;25;3;3;6;3;0;0;0;0;0;0
DISTRITO FEDERAL;DOCTORADO EN PSICOANÁLISIS Y ARTE;10;1;5;6;5;0;0;0;0;0;0
DISTRITO FEDERAL;DOCTORADO EN PSICOLOGÍA;0;77;187;264;27;1;1;2;1;1;2
DISTRITO FEDERAL;DOCTORADO EN PSICOTERAPIA;0;3;6;9;0;0;0;0;0;1;1
DISTRITO FEDERAL;DOCTORADO EN PSICOTERAPIA GESTALT;20;8;9;17;6;0;0;0;0;0;0
DISTRITO FEDERAL;DOCTORADO EN QUÍMICA;3;36;17;53;2;5;3;8;4;0;4
DISTRITO FEDERAL;DOCTORADO EN SISTEMAS COMPUTACIONALES;20;21;6;27;4;0;0;0;0;0;0
DISTRITO FEDERAL;DOCTORADO EN SOCIOLOGÍA;0;9;15;24;0;1;1;2;1;0;1
DISTRITO FEDERAL;DOCTORADO EN TECNOLOGÍA AVANZADA;25;54;33;87;5;7;2;9;6;3;9
DISTRITO FEDERAL;DOCTORADO EN TECNOLOGÍA EDUCATIVA;20;25;20;45;8;0;1;1;0;0;0
DISTRITO FEDERAL;DOCTORADO EN URBANISMO;0;22;15;37;2;0;0;0;0;0;0
DISTRITO FEDERAL;DOCTORADO INTERINSTITUCIONAL EN EDUCACIÓN;0;6;4;10;0;1;2;3;1;2;3
DISTRITO FEDERAL;ESPECIALIDAD EN ACUPUNTURA HUMANA;0;15;25;40;0;0;1;1;5;20;25
DISTRITO FEDERAL;ESPECIALIDAD EN ACUPUNTURA Y FITOTERAPIA;11;9;14;23;5;1;3;4;0;1;1
DISTRITO FEDERAL;ESPECIALIDAD EN ADICCIONES;0;5;16;21;0;4;7;11;6;12;18
DISTRITO FEDERAL;ESPECIALIDAD EN ADMINISTRACIÓN;100;14;11;25;0;26;27;53;0;0;0
DISTRITO FEDERAL;ESPECIALIDAD EN ADMINISTRACIÓN DE EMPRESAS;0;0;0;0;0;0;0;0;0;0;0
DISTRITO FEDERAL;ESPECIALIDAD EN ADMINISTRACIÓN DE INSTITUCIONES EDUCATIVAS;6;2;4;6;4;0;0;0;0;0;0
DISTRITO FEDERAL;ESPECIALIDAD EN ADMINISTRACIÓN DE MEDIOS Y SERVICIOS DE INFORMACIÓN;0;0;0;0;0;1;0;1;1;0;1
DISTRITO FEDERAL;ESPECIALIDAD EN ADMINISTRACIÓN DE PROYECTOS;0;2;0;2;0;3;2;5;0;0;0
DISTRITO FEDERAL;ESPECIALIDAD EN ADMINISTRACIÓN DE PROYECTOS DE INFRAESTRUCTURA;7;5;1;6;1;0;0;0;0;0;0
DISTRITO FEDERAL;ESPECIALIDAD EN ADMINISTRACIÓN DE RECURSOS HUMANOS;622;140;183;323;75;40;52;92;0;0;0
DISTRITO FEDERAL;ESPECIALIDAD EN ADMINISTRACIÓN DE RIESGOS;12;24;16;40;3;11;14;25;8;8;16
